Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.650600	1.377573	37.698000	49.150000	87.858000	93.790000	
0.100000	1.137069	1.230007	58.858000	58.260000	95.738000	96.150000	
0.100000	0.908671	1.188797	67.734000	62.250000	97.340000	96.670000	
0.100000	0.768245	0.938156	72.958000	69.620000	98.158000	97.840000	
0.100000	0.687601	0.762117	75.846000	73.970000	98.512000	98.170000	
0.100000	0.622296	0.693826	78.206000	77.220000	98.894000	98.660000	
0.100000	0.577471	0.719306	79.846000	77.270000	98.902000	98.250000	
0.100000	0.534589	0.703882	81.542000	77.450000	99.080000	98.630000	
0.100000	0.503584	0.725805	82.328000	76.870000	99.262000	98.600000	
0.100000	0.480253	0.616721	83.434000	79.060000	99.298000	98.790000	
0.100000	0.460584	0.572014	84.034000	81.110000	99.294000	99.070000	
0.100000	0.434427	0.587803	84.796000	80.050000	99.420000	99.090000	
0.100000	0.419416	0.692905	85.382000	78.460000	99.446000	98.880000	
0.100000	0.405701	0.714868	85.870000	78.260000	99.462000	98.330000	
0.100000	0.394912	0.567695	86.180000	81.970000	99.512000	98.940000	
0.100000	0.377736	0.555514	86.912000	82.150000	99.504000	99.060000	
0.100000	0.365812	0.628069	87.224000	79.930000	99.594000	98.890000	
0.100000	0.354648	0.509415	87.586000	83.500000	99.630000	99.270000	
0.100000	0.347335	0.522707	88.024000	82.920000	99.654000	99.260000	
0.100000	0.340330	0.510065	88.236000	83.540000	99.618000	98.930000	
0.100000	0.336720	0.548274	88.320000	82.000000	99.652000	99.060000	
0.100000	0.320486	0.619435	88.890000	79.660000	99.650000	99.340000	
0.100000	0.314610	0.566273	89.014000	82.340000	99.648000	99.300000	
0.100000	0.307927	0.625772	89.234000	81.240000	99.738000	99.080000	
0.100000	0.303539	0.502402	89.264000	84.420000	99.710000	99.180000	
0.100000	0.296186	0.519837	89.750000	83.980000	99.730000	99.310000	
0.100000	0.293004	0.600448	89.668000	82.350000	99.732000	99.030000	
0.100000	0.285590	0.579311	89.886000	83.020000	99.780000	99.340000	
0.100000	0.280817	0.560044	90.178000	83.440000	99.746000	99.190000	
0.100000	0.274940	0.443689	90.508000	86.220000	99.802000	99.470000	
0.100000	0.271089	0.515650	90.520000	84.310000	99.756000	99.030000	
0.100000	0.267995	0.492625	90.618000	84.550000	99.762000	99.310000	
0.100000	0.257650	0.545972	90.862000	83.890000	99.832000	99.330000	
0.100000	0.255708	0.500104	91.076000	84.750000	99.796000	99.210000	
0.100000	0.254953	0.526442	91.082000	84.080000	99.814000	99.310000	
0.100000	0.254105	0.479059	91.072000	85.200000	99.830000	99.290000	
0.100000	0.249263	0.575313	91.234000	82.890000	99.826000	99.070000	
0.100000	0.243197	0.572146	91.620000	82.770000	99.828000	99.150000	
0.100000	0.243121	0.447030	91.396000	86.620000	99.854000	99.310000	
0.100000	0.236162	0.425801	91.780000	86.200000	99.862000	99.450000	
0.010000	0.170019	0.329569	94.228000	89.450000	99.914000	99.700000	
0.010000	0.144497	0.328857	95.180000	89.680000	99.938000	99.670000	
0.010000	0.136452	0.327012	95.362000	89.930000	99.934000	99.720000	
0.010000	0.130615	0.329370	95.534000	89.710000	99.936000	99.720000	
0.010000	0.121949	0.329068	95.856000	89.860000	99.944000	99.710000	
0.010000	0.117950	0.329226	96.060000	90.060000	99.942000	99.750000	
0.010000	0.116596	0.335193	96.038000	89.990000	99.962000	99.720000	
0.010000	0.113164	0.346415	96.150000	89.680000	99.946000	99.640000	
0.010000	0.110612	0.342074	96.190000	89.730000	99.962000	99.730000	
