Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	2.165728	2.512664	17.936000	18.300000	66.188000	62.200000	
0.100000	1.755190	1.909853	33.716000	33.860000	86.024000	83.770000	
0.100000	1.535140	1.502613	43.260000	44.680000	90.952000	90.910000	
0.100000	1.403059	1.416733	48.234000	48.040000	92.880000	92.120000	
0.100000	1.267140	1.277392	53.620000	53.600000	94.454000	94.730000	
0.100000	1.172559	1.187604	57.452000	57.310000	95.384000	95.290000	
0.100000	1.087593	1.156932	60.712000	58.780000	96.006000	95.120000	
0.100000	0.996925	1.144358	64.146000	61.020000	96.756000	94.900000	
0.100000	0.922149	0.990732	67.094000	65.700000	97.196000	96.680000	
0.100000	0.850060	0.897968	70.208000	68.520000	97.612000	97.280000	
0.100000	0.796492	1.121478	72.010000	61.060000	97.962000	96.740000	
0.100000	0.748821	0.977071	73.888000	66.650000	98.164000	96.980000	
0.100000	0.700769	0.794931	75.576000	72.930000	98.384000	97.470000	
0.100000	0.666251	0.739340	76.588000	74.890000	98.544000	98.040000	
0.100000	0.654385	0.797351	77.226000	72.810000	98.582000	97.900000	
0.100000	0.617307	0.774713	78.576000	74.510000	98.756000	97.520000	
0.100000	0.594561	0.753379	79.442000	73.740000	98.788000	98.050000	
0.100000	0.583305	0.633001	79.834000	78.510000	98.816000	98.610000	
0.100000	0.553350	0.628935	80.728000	78.310000	98.898000	98.600000	
0.100000	0.534461	0.741162	81.496000	75.980000	98.998000	98.090000	
0.100000	0.524231	0.687193	81.852000	76.500000	99.098000	98.020000	
0.100000	0.505097	0.637857	82.576000	78.400000	99.086000	98.660000	
0.100000	0.501840	0.643848	82.668000	78.420000	99.184000	98.270000	
0.100000	0.484142	0.618890	83.284000	78.840000	99.184000	98.370000	
0.100000	0.472621	0.602530	83.640000	79.450000	99.210000	98.710000	
0.100000	0.456588	0.541084	84.166000	82.230000	99.284000	98.730000	
0.100000	0.443733	0.585675	84.814000	80.460000	99.310000	98.600000	
0.100000	0.443940	0.576488	84.628000	80.780000	99.364000	98.970000	
0.100000	0.432515	0.705570	85.172000	76.540000	99.306000	98.360000	
0.100000	0.429119	0.538999	85.126000	82.020000	99.360000	98.880000	
0.100000	0.411882	0.516732	85.754000	82.710000	99.418000	98.970000	
0.100000	0.405719	0.558365	86.078000	80.800000	99.374000	98.720000	
0.100000	0.396294	0.523779	86.120000	82.020000	99.468000	98.990000	
0.100000	0.399361	0.534284	86.048000	81.990000	99.448000	98.950000	
0.100000	0.384004	0.521525	86.742000	82.060000	99.490000	98.970000	
0.100000	0.386559	0.586773	86.570000	81.040000	99.468000	98.520000	
0.100000	0.378415	0.472986	86.848000	84.370000	99.512000	99.070000	
0.100000	0.374093	0.560018	87.208000	81.350000	99.482000	98.700000	
0.100000	0.369571	0.534578	87.202000	82.160000	99.540000	98.900000	
0.100000	0.353579	0.505247	87.798000	82.790000	99.568000	99.070000	
0.100000	0.359247	0.522526	87.546000	82.700000	99.552000	98.710000	
0.100000	0.346830	0.506936	88.030000	83.100000	99.550000	99.060000	
0.100000	0.348557	0.507898	87.830000	82.820000	99.570000	99.050000	
0.100000	0.341188	0.461133	88.094000	84.460000	99.608000	99.170000	
0.100000	0.343111	0.493173	87.924000	83.690000	99.610000	98.920000	
0.100000	0.341560	0.490788	88.296000	84.080000	99.582000	98.910000	
0.100000	0.331913	0.495817	88.438000	83.610000	99.630000	99.030000	
0.100000	0.321662	0.497320	88.776000	83.380000	99.630000	99.050000	
0.100000	0.328394	0.517313	88.672000	83.040000	99.628000	98.970000	
0.100000	0.319865	0.487516	88.926000	84.120000	99.680000	99.040000	
0.100000	0.317026	0.501351	88.884000	83.470000	99.686000	99.050000	
0.100000	0.323611	0.478996	88.786000	83.860000	99.684000	99.160000	
0.100000	0.304108	0.513157	89.564000	83.000000	99.670000	98.890000	
0.100000	0.313679	0.560123	88.994000	81.700000	99.718000	98.780000	
0.100000	0.298405	0.510601	89.490000	83.070000	99.716000	98.840000	
0.100000	0.293822	0.424308	89.712000	85.620000	99.722000	99.270000	
0.100000	0.291658	0.482175	89.886000	84.170000	99.694000	99.180000	
0.100000	0.294217	0.513311	89.752000	83.140000	99.692000	98.970000	
0.100000	0.287883	0.479381	90.042000	84.100000	99.688000	99.190000	
0.100000	0.297205	0.421117	89.616000	85.490000	99.692000	99.120000	
0.100000	0.298519	0.522363	89.576000	83.600000	99.682000	98.660000	
0.100000	0.281875	0.508858	90.204000	83.440000	99.714000	98.980000	
0.100000	0.278238	0.518632	90.400000	83.180000	99.708000	98.820000	
0.100000	0.292166	0.476864	89.748000	84.660000	99.700000	99.060000	
0.100000	0.279465	0.429491	90.220000	85.630000	99.768000	99.220000	
0.100000	0.277345	0.449113	90.384000	85.390000	99.746000	99.230000	
0.100000	0.283268	0.489455	90.118000	84.090000	99.724000	99.020000	
0.100000	0.268106	0.465603	90.718000	84.430000	99.746000	99.070000	
0.100000	0.273301	0.539010	90.382000	82.670000	99.758000	98.920000	
0.100000	0.272212	0.497373	90.458000	83.390000	99.758000	99.210000	
0.100000	0.278185	0.508227	90.174000	83.580000	99.764000	99.100000	
0.100000	0.264553	0.447980	90.880000	85.380000	99.728000	99.250000	
0.100000	0.257726	0.464770	91.038000	84.930000	99.780000	99.140000	
0.100000	0.257454	0.462049	91.066000	85.090000	99.780000	99.260000	
0.100000	0.275953	0.486993	90.328000	84.390000	99.788000	99.180000	
0.100000	0.255522	0.445626	91.062000	85.380000	99.796000	99.370000	
0.100000	0.260961	0.453171	90.994000	85.090000	99.780000	99.280000	
0.100000	0.260637	0.459049	90.934000	85.210000	99.780000	99.270000	
0.100000	0.254205	0.467396	91.110000	85.020000	99.810000	99.140000	
0.100000	0.246776	0.425550	91.424000	85.880000	99.818000	99.320000	
0.100000	0.260386	0.465186	90.968000	84.760000	99.776000	98.930000	
0.010000	0.155719	0.354789	94.816000	88.570000	99.914000	99.550000	
0.010000	0.135022	0.347823	95.468000	88.710000	99.930000	99.540000	
0.010000	0.127163	0.366978	95.736000	88.280000	99.944000	99.470000	
0.010000	0.123608	0.353410	95.832000	88.820000	99.928000	99.530000	
0.010000	0.115847	0.361243	96.182000	88.570000	99.950000	99.500000	
0.010000	0.116018	0.364444	96.068000	88.670000	99.940000	99.400000	
0.010000	0.112749	0.359767	96.256000	88.710000	99.958000	99.530000	
0.010000	0.108779	0.362764	96.342000	88.760000	99.954000	99.560000	
0.010000	0.104387	0.359962	96.538000	89.040000	99.964000	99.560000	
0.010000	0.104265	0.362412	96.436000	88.800000	99.960000	99.470000	
0.010000	0.101269	0.357577	96.630000	89.020000	99.960000	99.540000	
0.010000	0.100486	0.366406	96.486000	88.860000	99.974000	99.570000	
0.010000	0.096125	0.366359	96.864000	88.630000	99.964000	99.520000	
0.010000	0.095967	0.374249	96.760000	88.620000	99.978000	99.470000	
0.010000	0.093585	0.365961	96.806000	88.840000	99.958000	99.510000	
