Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	2.067762	1.813411	21.610000	31.910000	72.682000	84.790000	
0.100000	1.760174	1.680782	34.032000	37.280000	86.478000	87.910000	
0.100000	1.608015	1.616946	40.418000	41.050000	89.768000	88.200000	
0.100000	1.510022	1.713142	44.312000	40.550000	91.428000	88.270000	
0.100000	1.418773	1.572920	48.216000	42.670000	92.566000	90.220000	
0.100000	1.343735	1.355050	51.058000	51.240000	93.544000	93.340000	
0.100000	1.244813	1.282135	54.996000	54.340000	94.694000	94.190000	
0.100000	1.162368	1.139262	58.014000	58.180000	95.392000	95.850000	
0.100000	1.093673	1.070078	60.974000	61.250000	95.990000	96.120000	
0.100000	1.032669	1.075765	62.896000	61.020000	96.442000	96.140000	
0.100000	0.975257	1.036462	65.136000	63.060000	96.866000	96.710000	
0.100000	0.919268	1.008664	67.112000	62.910000	97.188000	97.310000	
0.100000	0.882567	0.854267	68.624000	70.070000	97.478000	97.810000	
0.100000	0.844215	0.867057	70.112000	69.080000	97.692000	97.720000	
0.100000	0.795007	0.824207	71.502000	70.540000	98.006000	97.820000	
0.100000	0.763295	0.808392	73.134000	71.400000	98.098000	97.890000	
0.100000	0.733143	0.802187	74.430000	71.910000	98.294000	98.030000	
0.100000	0.713806	0.776393	75.102000	72.810000	98.342000	98.020000	
0.100000	0.667102	0.693423	76.664000	75.590000	98.564000	98.640000	
0.100000	0.660422	0.716826	76.998000	74.750000	98.576000	98.240000	
0.100000	0.627100	0.643810	78.310000	77.320000	98.694000	98.610000	
0.100000	0.612693	0.658421	78.862000	76.940000	98.704000	98.600000	
0.100000	0.593996	0.607393	79.364000	78.960000	98.884000	98.650000	
0.100000	0.569580	0.679076	80.146000	76.700000	98.974000	98.440000	
0.100000	0.566134	0.607761	80.408000	79.120000	98.982000	98.570000	
0.100000	0.543197	0.596839	81.362000	80.060000	99.010000	98.840000	
0.100000	0.525557	0.642031	81.786000	78.020000	99.078000	98.680000	
0.100000	0.516686	0.597195	81.960000	79.650000	99.150000	98.800000	
0.100000	0.503006	0.632813	82.552000	78.350000	99.162000	98.650000	
0.100000	0.487393	0.586183	83.244000	80.000000	99.190000	98.680000	
0.100000	0.490695	0.564469	83.072000	81.320000	99.162000	98.810000	
0.100000	0.473548	0.551101	83.658000	81.360000	99.216000	98.710000	
0.100000	0.464986	0.542093	83.920000	82.010000	99.210000	98.910000	
0.100000	0.456558	0.679057	84.252000	77.160000	99.306000	98.220000	
0.100000	0.461271	0.539364	84.018000	81.690000	99.276000	98.760000	
0.100000	0.429123	0.526935	85.090000	81.600000	99.376000	99.120000	
0.100000	0.431650	0.476911	85.018000	83.810000	99.386000	99.230000	
0.100000	0.423332	0.632323	85.278000	78.370000	99.392000	98.360000	
0.100000	0.425340	0.491210	85.270000	83.540000	99.402000	99.280000	
0.100000	0.415727	0.531577	85.622000	82.580000	99.400000	98.970000	
0.100000	0.407626	0.579793	85.896000	80.300000	99.462000	99.070000	
0.100000	0.401617	0.517862	85.868000	82.500000	99.462000	98.990000	
0.100000	0.392353	0.542507	86.404000	81.970000	99.476000	99.050000	
0.100000	0.379365	0.532756	86.968000	81.900000	99.518000	98.910000	
0.100000	0.393378	0.495461	86.210000	83.350000	99.444000	99.230000	
0.100000	0.380104	0.475764	86.782000	84.190000	99.466000	99.230000	
0.100000	0.376752	0.482702	87.020000	83.610000	99.480000	99.210000	
0.100000	0.366774	0.519909	87.256000	83.030000	99.572000	98.980000	
0.100000	0.363016	0.471122	87.484000	84.400000	99.566000	99.020000	
0.100000	0.358113	0.452013	87.534000	84.800000	99.558000	99.280000	
0.100000	0.356186	0.480500	87.734000	83.670000	99.586000	98.950000	
0.100000	0.348985	0.531033	87.850000	82.170000	99.610000	98.820000	
0.100000	0.353526	0.456070	87.542000	84.630000	99.596000	99.280000	
0.100000	0.352125	0.444330	87.832000	84.620000	99.566000	99.250000	
0.100000	0.351087	0.433909	87.912000	85.480000	99.580000	99.420000	
0.100000	0.341379	0.473394	88.244000	84.270000	99.614000	99.250000	
0.100000	0.344907	0.529946	88.000000	82.520000	99.598000	99.170000	
0.100000	0.336629	0.474254	88.250000	83.780000	99.642000	99.280000	
0.100000	0.332289	0.562784	88.356000	81.740000	99.648000	98.970000	
0.100000	0.329699	0.413892	88.648000	86.290000	99.628000	99.280000	
0.100000	0.317745	0.427468	88.924000	85.450000	99.650000	99.280000	
0.100000	0.317925	0.477827	88.964000	84.100000	99.686000	99.260000	
0.100000	0.307253	0.454659	89.378000	85.160000	99.688000	99.140000	
0.100000	0.319308	0.405338	89.012000	86.430000	99.674000	99.350000	
0.100000	0.306777	0.416357	89.302000	86.010000	99.672000	99.360000	
0.100000	0.299988	0.442034	89.602000	85.740000	99.696000	99.350000	
0.100000	0.304270	0.526032	89.476000	83.080000	99.706000	99.180000	
0.100000	0.314065	0.438499	89.044000	85.470000	99.656000	99.200000	
0.100000	0.304615	0.469229	89.460000	84.490000	99.678000	99.120000	
0.100000	0.291145	0.421807	89.822000	85.800000	99.702000	99.360000	
0.100000	0.304198	0.472413	89.416000	84.190000	99.700000	99.190000	
0.100000	0.300427	0.505067	89.500000	83.840000	99.668000	98.880000	
0.100000	0.306288	0.402146	89.310000	86.760000	99.682000	99.200000	
0.100000	0.295388	0.444928	89.784000	85.640000	99.706000	99.240000	
0.100000	0.292004	0.483297	89.762000	84.440000	99.686000	99.120000	
0.100000	0.294108	0.458112	89.838000	84.990000	99.702000	99.250000	
0.100000	0.269471	0.452124	90.562000	85.310000	99.732000	99.270000	
0.100000	0.282576	0.440456	90.276000	85.640000	99.752000	99.210000	
0.100000	0.282222	0.413171	90.134000	86.310000	99.746000	99.190000	
0.100000	0.278530	0.481982	90.384000	84.080000	99.730000	98.860000	
0.100000	0.274093	0.429339	90.466000	86.270000	99.714000	99.480000	
0.010000	0.182647	0.340544	93.978000	88.900000	99.862000	99.540000	
0.010000	0.159661	0.336899	94.646000	88.990000	99.898000	99.510000	
0.010000	0.156774	0.335545	94.778000	88.980000	99.904000	99.510000	
0.010000	0.150832	0.337957	94.902000	89.020000	99.910000	99.510000	
0.010000	0.145622	0.330110	95.092000	89.290000	99.926000	99.550000	
0.010000	0.141478	0.333700	95.380000	89.170000	99.914000	99.590000	
0.010000	0.138966	0.338467	95.340000	89.080000	99.926000	99.510000	
0.010000	0.139127	0.337207	95.276000	89.260000	99.926000	99.620000	
0.010000	0.133486	0.344394	95.528000	89.090000	99.920000	99.480000	
0.010000	0.130755	0.341794	95.644000	89.120000	99.944000	99.530000	
0.010000	0.131176	0.337332	95.656000	89.180000	99.920000	99.590000	
0.010000	0.130177	0.342255	95.672000	89.180000	99.946000	99.570000	
0.010000	0.129113	0.345133	95.660000	89.130000	99.942000	99.480000	
0.010000	0.123955	0.351138	95.822000	89.080000	99.946000	99.490000	
0.010000	0.124547	0.339569	95.792000	89.290000	99.944000	99.590000	
0.010000	0.122143	0.357926	95.860000	88.820000	99.968000	99.530000	
