Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.300000	1.704655	1.370150	34.854000	49.550000	86.598000	93.890000	
0.300000	1.214594	1.093522	55.688000	61.020000	95.060000	96.210000	
0.300000	0.993074	0.949322	64.180000	66.580000	96.878000	97.450000	
0.300000	0.852959	0.878249	70.014000	69.810000	97.792000	97.560000	
0.300000	0.764059	0.725868	73.306000	74.150000	98.178000	98.450000	
0.300000	0.694441	0.712077	75.674000	75.300000	98.496000	98.410000	
0.300000	0.644932	0.699106	77.674000	76.480000	98.660000	98.490000	
0.300000	0.620964	0.641448	78.428000	78.140000	98.744000	98.740000	
0.300000	0.585805	0.604567	79.628000	79.460000	98.906000	98.870000	
0.300000	0.569725	0.621868	80.332000	78.740000	98.954000	98.540000	
0.300000	0.554395	0.636012	80.874000	78.100000	98.976000	98.620000	
0.300000	0.531160	0.595772	81.470000	79.890000	99.138000	98.910000	
0.300000	0.521143	0.585690	81.878000	79.920000	99.188000	98.900000	
0.300000	0.516801	0.542420	81.874000	81.620000	99.158000	98.990000	
0.300000	0.506676	0.572216	82.458000	80.750000	99.222000	99.080000	
0.300000	0.490642	0.518030	83.150000	82.180000	99.268000	99.080000	
0.300000	0.480183	0.510260	83.358000	82.770000	99.238000	99.020000	
0.300000	0.474226	0.576497	83.656000	80.630000	99.298000	98.910000	
0.300000	0.470501	0.526467	83.828000	82.190000	99.326000	99.040000	
0.300000	0.465101	0.521992	83.840000	82.740000	99.256000	99.050000	
0.300000	0.455999	0.494625	84.308000	83.360000	99.340000	99.250000	
0.300000	0.450225	0.541646	84.452000	81.450000	99.380000	99.090000	
0.300000	0.454327	0.538584	84.384000	82.010000	99.324000	99.040000	
0.300000	0.444077	0.482611	84.694000	83.560000	99.338000	99.270000	
0.300000	0.434024	0.509151	85.060000	82.800000	99.390000	99.060000	
0.300000	0.434706	0.513328	85.022000	82.420000	99.420000	99.030000	
0.300000	0.434696	0.536911	84.942000	81.860000	99.402000	98.890000	
0.300000	0.432576	0.507755	85.144000	82.800000	99.362000	99.130000	
0.300000	0.426572	0.560581	85.416000	81.640000	99.386000	99.060000	
0.300000	0.418705	0.484030	85.580000	83.430000	99.390000	99.240000	
0.300000	0.420372	0.501017	85.342000	83.010000	99.478000	99.220000	
0.300000	0.418202	0.513999	85.612000	83.110000	99.430000	98.860000	
0.300000	0.418259	0.476906	85.610000	83.950000	99.464000	99.200000	
0.300000	0.417915	0.477074	85.582000	84.040000	99.414000	99.270000	
0.300000	0.411161	0.477458	85.608000	84.190000	99.452000	99.300000	
0.300000	0.411091	0.531991	85.702000	82.220000	99.496000	99.010000	
0.300000	0.403485	0.490721	86.078000	83.420000	99.390000	99.250000	
0.300000	0.405285	0.479964	86.036000	83.760000	99.468000	99.220000	
0.300000	0.401250	0.471451	86.184000	84.200000	99.486000	99.190000	
0.300000	0.400268	0.509159	86.490000	82.990000	99.556000	99.110000	
0.300000	0.410530	0.443648	85.740000	84.600000	99.530000	99.350000	
0.300000	0.402372	0.452460	86.186000	84.860000	99.414000	99.310000	
0.300000	0.392573	0.516353	86.496000	82.290000	99.518000	99.160000	
0.300000	0.395735	0.457966	86.400000	84.710000	99.552000	99.270000	
0.300000	0.389723	0.485753	86.582000	83.870000	99.506000	99.250000	
0.300000	0.396603	0.476984	86.424000	84.350000	99.490000	99.350000	
0.300000	0.393691	0.474583	86.418000	84.360000	99.508000	99.250000	
0.300000	0.385585	0.456096	86.548000	84.900000	99.540000	99.280000	
0.300000	0.391901	0.488976	86.434000	83.720000	99.472000	99.160000	
0.300000	0.393228	0.497873	86.630000	83.740000	99.474000	99.200000	
0.300000	0.379380	0.446778	86.962000	84.950000	99.580000	99.310000	
0.300000	0.392026	0.471205	86.362000	84.100000	99.484000	99.160000	
0.300000	0.389052	0.453453	86.534000	84.730000	99.516000	99.330000	
0.300000	0.379580	0.479351	86.888000	83.930000	99.590000	99.180000	
0.300000	0.383024	0.448852	86.808000	85.040000	99.550000	99.360000	
0.300000	0.380734	0.477797	86.986000	83.950000	99.528000	99.160000	
0.300000	0.385464	0.492396	86.608000	83.220000	99.498000	99.200000	
0.300000	0.383315	0.432383	86.794000	85.220000	99.530000	99.200000	
0.300000	0.380248	0.441308	86.700000	85.130000	99.534000	99.310000	
0.300000	0.378963	0.443904	86.816000	84.720000	99.578000	99.270000	
0.300000	0.386790	0.458912	86.678000	84.420000	99.548000	99.180000	
0.300000	0.371838	0.477239	87.046000	84.360000	99.576000	99.120000	
0.300000	0.384343	0.501946	86.774000	83.340000	99.544000	99.110000	
0.300000	0.374764	0.446545	87.094000	84.730000	99.530000	99.310000	
0.300000	0.374959	0.461069	87.160000	84.170000	99.542000	99.250000	
0.300000	0.368996	0.461605	87.192000	84.240000	99.586000	99.380000	
0.300000	0.375694	0.409573	87.206000	85.570000	99.558000	99.480000	
0.300000	0.370200	0.489384	87.306000	83.550000	99.546000	99.120000	
0.300000	0.379184	0.449108	86.942000	84.910000	99.558000	99.290000	
0.300000	0.366949	0.439187	87.422000	85.410000	99.532000	99.270000	
0.300000	0.370264	0.443528	87.224000	85.130000	99.562000	99.260000	
0.300000	0.379555	0.507884	87.032000	82.950000	99.466000	99.050000	
0.300000	0.372684	0.485966	87.082000	83.450000	99.542000	99.250000	
0.300000	0.377608	0.485617	87.022000	83.450000	99.536000	99.160000	
0.300000	0.367414	0.436756	87.292000	85.190000	99.570000	99.260000	
0.300000	0.365859	0.443821	87.382000	85.040000	99.612000	99.180000	
0.300000	0.367395	0.475726	87.386000	83.970000	99.584000	99.350000	
0.300000	0.363603	0.453991	87.364000	84.690000	99.534000	99.180000	
0.300000	0.366248	0.500874	87.392000	83.540000	99.568000	98.920000	
0.300000	0.367501	0.492028	87.262000	83.210000	99.576000	99.160000	
0.300000	0.360346	0.429095	87.692000	85.840000	99.568000	99.260000	
0.030000	0.232320	0.320930	91.998000	89.350000	99.798000	99.640000	
0.030000	0.195524	0.310798	93.302000	89.580000	99.848000	99.620000	
0.030000	0.182775	0.306492	93.636000	89.840000	99.882000	99.660000	
0.030000	0.172945	0.298568	94.048000	90.060000	99.878000	99.620000	
0.030000	0.162753	0.300838	94.368000	90.100000	99.876000	99.620000	
0.030000	0.156841	0.305192	94.662000	90.070000	99.904000	99.620000	
0.030000	0.152293	0.298003	94.698000	90.160000	99.908000	99.640000	
0.030000	0.148052	0.304242	94.870000	90.160000	99.916000	99.630000	
0.030000	0.143944	0.307099	95.038000	90.190000	99.914000	99.640000	
0.030000	0.139320	0.304627	95.208000	90.080000	99.912000	99.690000	
0.030000	0.138374	0.309846	95.276000	89.910000	99.912000	99.600000	
0.030000	0.132326	0.302355	95.400000	90.420000	99.922000	99.740000	
0.030000	0.128874	0.315668	95.496000	90.120000	99.930000	99.680000	
0.030000	0.127521	0.311489	95.620000	90.160000	99.936000	99.700000	
0.030000	0.125846	0.309148	95.590000	90.340000	99.936000	99.670000	
0.030000	0.125604	0.306527	95.582000	90.300000	99.946000	99.710000	
0.030000	0.119003	0.316316	95.876000	90.350000	99.966000	99.600000	
0.030000	0.121208	0.313171	95.800000	90.340000	99.950000	99.650000	
0.030000	0.117963	0.310231	95.806000	90.330000	99.966000	99.650000	
0.003000	0.101000	0.302309	96.592000	90.330000	99.980000	99.690000	
0.003000	0.095282	0.303517	96.666000	90.460000	99.964000	99.680000	
0.003000	0.091059	0.305848	96.902000	90.590000	99.968000	99.670000	
0.003000	0.090301	0.304277	96.962000	90.660000	99.976000	99.650000	
0.003000	0.086597	0.305621	97.132000	90.540000	99.970000	99.670000	
0.003000	0.087853	0.302803	97.040000	90.790000	99.970000	99.690000	
0.003000	0.086681	0.304573	97.102000	90.700000	99.970000	99.690000	
0.003000	0.084891	0.305161	97.186000	90.650000	99.974000	99.660000	
0.003000	0.084086	0.307370	97.142000	90.710000	99.976000	99.650000	
0.003000	0.085240	0.306330	97.222000	90.650000	99.968000	99.660000	
0.003000	0.085668	0.307037	97.140000	90.750000	99.974000	99.680000	
0.003000	0.083172	0.308707	97.226000	90.730000	99.964000	99.690000	
0.003000	0.082373	0.309802	97.176000	90.790000	99.970000	99.640000	
0.003000	0.084006	0.307452	97.070000	90.790000	99.976000	99.650000	
0.003000	0.080302	0.307759	97.326000	90.910000	99.978000	99.690000	
0.003000	0.080366	0.309140	97.362000	90.770000	99.976000	99.670000	
0.003000	0.080385	0.313947	97.320000	90.690000	99.970000	99.640000	
0.003000	0.079420	0.311908	97.356000	90.930000	99.984000	99.690000	
0.003000	0.079091	0.314292	97.360000	90.830000	99.976000	99.660000	
0.003000	0.077613	0.312618	97.408000	90.860000	99.988000	99.670000	
0.000300	0.078481	0.312484	97.310000	90.860000	99.982000	99.670000	
0.000300	0.078229	0.312507	97.396000	90.810000	99.976000	99.680000	
0.000300	0.076485	0.311705	97.462000	90.850000	99.978000	99.690000	
0.000300	0.075184	0.311839	97.522000	90.800000	99.984000	99.680000	
0.000300	0.074934	0.311959	97.496000	90.780000	99.984000	99.680000	
0.000300	0.075726	0.312521	97.482000	90.810000	99.972000	99.670000	
0.000300	0.078041	0.312449	97.392000	90.800000	99.986000	99.670000	
0.000300	0.074787	0.312504	97.504000	90.760000	99.978000	99.690000	
0.000300	0.074744	0.312040	97.514000	90.800000	99.982000	99.680000	
0.000300	0.074972	0.312087	97.504000	90.810000	99.982000	99.690000	
0.000300	0.074867	0.312266	97.458000	90.790000	99.980000	99.680000	
0.000300	0.074622	0.312700	97.562000	90.820000	99.982000	99.690000	
0.000300	0.075595	0.312290	97.500000	90.810000	99.978000	99.690000	
0.000300	0.075799	0.312223	97.476000	90.810000	99.976000	99.690000	
0.000300	0.073410	0.312198	97.568000	90.780000	99.974000	99.690000	
0.000300	0.076728	0.311999	97.312000	90.790000	99.980000	99.690000	
0.000300	0.075723	0.311789	97.478000	90.710000	99.972000	99.690000	
0.000300	0.075473	0.311928	97.450000	90.740000	99.984000	99.690000	
0.000300	0.074343	0.312331	97.502000	90.720000	99.978000	99.690000	
0.000300	0.075424	0.311991	97.470000	90.770000	99.990000	99.690000	
0.000030	0.074004	0.311975	97.534000	90.770000	99.974000	99.690000	
0.000030	0.073438	0.311961	97.544000	90.760000	99.974000	99.690000	
0.000030	0.075048	0.311992	97.488000	90.780000	99.988000	99.690000	
0.000030	0.073211	0.312004	97.616000	90.770000	99.982000	99.690000	
0.000030	0.076588	0.312031	97.362000	90.760000	99.980000	99.690000	
0.000030	0.075955	0.312030	97.470000	90.770000	99.980000	99.690000	
0.000030	0.074854	0.312012	97.492000	90.770000	99.976000	99.690000	
0.000030	0.074386	0.312031	97.524000	90.770000	99.978000	99.690000	
0.000030	0.073552	0.312039	97.552000	90.780000	99.972000	99.690000	
0.000030	0.074397	0.312091	97.518000	90.780000	99.974000	99.690000	
0.000030	0.073956	0.312073	97.520000	90.770000	99.974000	99.690000	
0.000030	0.074697	0.312090	97.516000	90.770000	99.976000	99.690000	
0.000030	0.076368	0.312097	97.392000	90.780000	99.984000	99.690000	
0.000030	0.073635	0.312056	97.568000	90.770000	99.974000	99.690000	
0.000030	0.074015	0.312105	97.560000	90.780000	99.972000	99.690000	
0.000030	0.073928	0.312118	97.508000	90.760000	99.976000	99.690000	
0.000030	0.073791	0.312143	97.516000	90.790000	99.986000	99.690000	
0.000030	0.074689	0.312167	97.524000	90.790000	99.974000	99.690000	
0.000030	0.073858	0.312183	97.634000	90.770000	99.974000	99.690000	
0.000030	0.074797	0.312137	97.504000	90.770000	99.978000	99.690000	
0.000030	0.073982	0.312136	97.508000	90.780000	99.986000	99.690000	
0.000030	0.073783	0.312147	97.530000	90.780000	99.976000	99.690000	
0.000030	0.076467	0.312192	97.438000	90.790000	99.980000	99.690000	
0.000030	0.074101	0.312193	97.502000	90.790000	99.980000	99.690000	
