Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.669874	1.392663	36.210000	47.970000	86.690000	94.240000	
0.100000	1.178198	1.110420	56.846000	60.690000	95.462000	96.300000	
0.100000	0.963965	0.894776	65.094000	68.080000	97.148000	97.800000	
0.100000	0.835532	0.798358	70.240000	71.990000	97.914000	98.180000	
0.100000	0.751750	0.765085	73.492000	73.530000	98.222000	98.430000	
0.100000	0.691011	0.773718	75.880000	73.220000	98.576000	98.330000	
0.100000	0.640701	0.692845	77.766000	76.030000	98.670000	98.650000	
0.100000	0.605000	0.637495	79.034000	78.340000	98.884000	98.700000	
0.100000	0.570558	0.594791	80.394000	79.650000	98.964000	98.870000	
0.100000	0.538478	0.597779	81.466000	79.280000	99.070000	98.940000	
0.100000	0.522570	0.560315	82.148000	80.770000	99.164000	99.040000	
0.100000	0.500755	0.556851	82.704000	81.290000	99.206000	99.010000	
0.100000	0.487189	0.569785	82.896000	80.660000	99.226000	98.940000	
0.100000	0.471101	0.522072	83.722000	82.000000	99.288000	99.260000	
0.100000	0.461825	0.517789	84.148000	82.410000	99.304000	99.190000	
0.100000	0.440206	0.508778	84.640000	82.610000	99.386000	99.120000	
0.100000	0.433981	0.488355	85.020000	83.270000	99.428000	99.230000	
0.100000	0.422937	0.524746	85.254000	82.350000	99.424000	99.060000	
0.100000	0.408589	0.535741	85.926000	81.880000	99.478000	99.170000	
0.100000	0.409102	0.465827	85.804000	83.770000	99.488000	99.340000	
0.100000	0.393204	0.497510	86.412000	83.360000	99.524000	99.210000	
0.100000	0.389830	0.461803	86.472000	84.330000	99.478000	99.310000	
0.100000	0.385543	0.494921	86.516000	83.020000	99.566000	99.190000	
0.100000	0.377978	0.499217	86.922000	83.270000	99.558000	99.170000	
0.100000	0.375737	0.483080	86.800000	83.630000	99.526000	99.170000	
0.100000	0.360873	0.482728	87.404000	83.840000	99.552000	99.280000	
0.100000	0.355960	0.427048	87.724000	85.290000	99.624000	99.490000	
0.100000	0.351640	0.446169	87.834000	84.610000	99.616000	99.360000	
0.100000	0.350633	0.449512	87.816000	84.450000	99.618000	99.250000	
0.100000	0.345678	0.467533	87.994000	84.300000	99.638000	99.370000	
0.100000	0.346011	0.446393	87.866000	85.080000	99.656000	99.400000	
0.100000	0.341199	0.434864	88.108000	85.230000	99.650000	99.280000	
0.100000	0.335681	0.442876	88.208000	84.910000	99.654000	99.310000	
0.100000	0.331174	0.443278	88.436000	85.080000	99.660000	99.400000	
0.100000	0.326865	0.427993	88.620000	85.270000	99.648000	99.440000	
0.100000	0.319554	0.429462	88.990000	85.750000	99.672000	99.360000	
0.100000	0.320698	0.436162	88.782000	85.410000	99.652000	99.440000	
0.100000	0.318906	0.429519	88.884000	85.260000	99.694000	99.420000	
0.100000	0.312267	0.422835	89.056000	85.380000	99.686000	99.470000	
0.100000	0.313864	0.423078	88.850000	85.820000	99.698000	99.420000	
0.100000	0.307727	0.444526	89.236000	84.760000	99.698000	99.370000	
0.100000	0.301712	0.432592	89.384000	85.740000	99.706000	99.420000	
0.100000	0.300100	0.442175	89.604000	85.280000	99.742000	99.500000	
0.100000	0.296868	0.420362	89.604000	85.710000	99.694000	99.500000	
0.100000	0.295687	0.405575	89.770000	86.150000	99.716000	99.540000	
0.100000	0.301498	0.422452	89.444000	85.350000	99.732000	99.360000	
0.100000	0.292386	0.401818	89.694000	86.490000	99.718000	99.510000	
0.100000	0.295121	0.408696	89.798000	85.900000	99.706000	99.660000	
0.100000	0.294473	0.412072	89.648000	86.070000	99.752000	99.490000	
0.100000	0.287294	0.425169	89.932000	86.170000	99.766000	99.390000	
0.100000	0.285811	0.478519	89.982000	83.980000	99.776000	99.320000	
0.100000	0.288549	0.435405	89.938000	85.320000	99.762000	99.330000	
0.100000	0.280287	0.413915	90.036000	86.120000	99.758000	99.430000	
0.100000	0.278385	0.405809	90.308000	86.190000	99.768000	99.420000	
0.100000	0.280015	0.383551	90.090000	87.540000	99.758000	99.540000	
0.100000	0.279466	0.405048	90.126000	86.590000	99.766000	99.410000	
0.100000	0.274241	0.392131	90.472000	86.570000	99.760000	99.620000	
0.100000	0.272173	0.409996	90.360000	86.120000	99.768000	99.560000	
0.100000	0.268943	0.418569	90.700000	85.490000	99.804000	99.580000	
0.100000	0.272109	0.386602	90.526000	87.220000	99.786000	99.600000	
0.100000	0.267345	0.415946	90.616000	86.000000	99.784000	99.440000	
0.100000	0.261333	0.386890	90.924000	86.990000	99.782000	99.580000	
0.100000	0.265675	0.375960	90.734000	87.120000	99.786000	99.570000	
0.100000	0.263384	0.394865	90.708000	86.870000	99.816000	99.430000	
0.100000	0.265354	0.421474	90.716000	86.010000	99.772000	99.440000	
0.100000	0.263487	0.391995	90.732000	86.660000	99.808000	99.510000	
0.100000	0.263502	0.424400	90.588000	85.990000	99.822000	99.400000	
0.100000	0.260414	0.427029	90.856000	85.940000	99.796000	99.360000	
0.100000	0.257324	0.380905	90.780000	87.340000	99.816000	99.530000	
0.100000	0.260472	0.395377	90.790000	87.030000	99.814000	99.530000	
0.100000	0.259232	0.418135	90.890000	86.250000	99.838000	99.390000	
0.100000	0.259866	0.396479	90.848000	87.000000	99.808000	99.380000	
0.100000	0.253300	0.410584	91.144000	86.570000	99.798000	99.400000	
0.100000	0.257918	0.387916	90.934000	86.970000	99.840000	99.560000	
0.100000	0.255135	0.400109	91.102000	86.780000	99.790000	99.450000	
0.100000	0.254886	0.410980	91.122000	86.440000	99.802000	99.470000	
0.100000	0.251050	0.392423	91.266000	87.210000	99.804000	99.450000	
0.100000	0.254045	0.416132	91.020000	86.530000	99.804000	99.430000	
0.100000	0.247873	0.367213	91.348000	87.620000	99.824000	99.590000	
0.100000	0.245213	0.397228	91.350000	86.740000	99.852000	99.570000	
0.100000	0.248423	0.379834	91.318000	87.160000	99.832000	99.590000	
0.010000	0.159458	0.307786	94.422000	89.600000	99.924000	99.720000	
0.010000	0.135532	0.304809	95.404000	89.960000	99.934000	99.760000	
0.010000	0.125269	0.310843	95.720000	89.630000	99.948000	99.720000	
0.010000	0.120321	0.310147	95.878000	89.740000	99.958000	99.760000	
0.010000	0.115121	0.312034	96.108000	89.630000	99.948000	99.720000	
0.010000	0.110352	0.305610	96.236000	90.050000	99.956000	99.750000	
0.010000	0.106004	0.309543	96.418000	89.980000	99.958000	99.760000	
0.010000	0.104082	0.312816	96.456000	90.010000	99.964000	99.750000	
0.010000	0.102128	0.314531	96.512000	90.010000	99.946000	99.740000	
0.010000	0.098770	0.313436	96.614000	90.110000	99.968000	99.750000	
0.010000	0.095615	0.311892	96.742000	90.250000	99.952000	99.760000	
0.010000	0.095821	0.313051	96.712000	90.210000	99.966000	99.760000	
0.010000	0.092033	0.313332	96.894000	90.050000	99.970000	99.770000	
0.010000	0.091222	0.317990	96.868000	90.010000	99.958000	99.770000	
0.010000	0.087824	0.322149	97.012000	89.920000	99.986000	99.740000	
0.010000	0.086794	0.318074	97.010000	90.190000	99.978000	99.760000	
0.010000	0.086352	0.331644	97.054000	89.530000	99.976000	99.730000	
0.010000	0.081705	0.333082	97.196000	89.830000	99.982000	99.720000	
0.010000	0.083755	0.328500	97.122000	89.890000	99.980000	99.690000	
0.001000	0.076488	0.322282	97.372000	90.100000	99.982000	99.720000	
0.001000	0.073053	0.321939	97.602000	90.050000	99.976000	99.720000	
0.001000	0.073094	0.321899	97.534000	90.180000	99.980000	99.750000	
0.001000	0.072779	0.321640	97.522000	90.240000	99.984000	99.750000	
0.001000	0.070532	0.322390	97.658000	90.170000	99.988000	99.730000	
0.001000	0.071737	0.323219	97.582000	90.250000	99.980000	99.730000	
0.001000	0.071241	0.323104	97.588000	90.210000	99.984000	99.750000	
0.001000	0.068298	0.322264	97.770000	90.170000	99.986000	99.740000	
0.001000	0.069458	0.325382	97.666000	90.100000	99.988000	99.720000	
0.001000	0.069651	0.324956	97.654000	90.070000	99.984000	99.740000	
0.001000	0.066766	0.324593	97.826000	90.130000	99.980000	99.750000	
0.001000	0.069102	0.326349	97.696000	90.090000	99.978000	99.730000	
0.001000	0.069236	0.325967	97.694000	90.030000	99.982000	99.730000	
0.001000	0.066674	0.327186	97.764000	90.030000	99.978000	99.720000	
0.001000	0.066448	0.326124	97.810000	90.150000	99.986000	99.740000	
