Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.757793	1.449121	32.490000	46.680000	85.260000	92.590000	
0.100000	1.235175	1.117230	55.304000	59.870000	94.964000	96.170000	
0.100000	1.001176	0.923803	64.134000	66.980000	96.924000	97.740000	
0.100000	0.865988	0.926922	69.598000	68.670000	97.736000	97.340000	
0.100000	0.776017	0.769657	72.980000	73.590000	98.126000	98.210000	
0.100000	0.721623	0.747838	75.156000	74.230000	98.420000	98.120000	
0.100000	0.678971	0.672075	76.776000	76.980000	98.590000	98.480000	
0.100000	0.631329	0.697182	78.224000	75.950000	98.846000	98.590000	
0.100000	0.603080	0.683447	79.366000	76.780000	98.874000	98.380000	
0.100000	0.570418	0.653041	80.372000	77.130000	98.970000	98.670000	
0.100000	0.560916	0.626088	80.830000	79.110000	99.068000	98.850000	
0.100000	0.537803	0.587711	81.766000	79.980000	99.088000	98.960000	
0.100000	0.518578	0.644843	82.176000	78.590000	99.126000	98.920000	
0.100000	0.503988	0.573412	82.790000	80.100000	99.220000	98.930000	
0.100000	0.488036	0.537368	83.324000	82.450000	99.288000	99.060000	
0.100000	0.483100	0.632378	83.536000	78.320000	99.270000	98.840000	
0.100000	0.468149	0.560356	84.002000	82.020000	99.354000	99.100000	
0.100000	0.471733	0.522781	83.976000	82.000000	99.304000	99.130000	
0.100000	0.460494	0.482558	84.398000	83.660000	99.336000	99.340000	
0.100000	0.449806	0.517106	84.834000	82.190000	99.402000	99.160000	
0.100000	0.445256	0.500787	84.866000	83.380000	99.362000	99.270000	
0.100000	0.431711	0.473469	85.224000	83.970000	99.394000	99.150000	
0.100000	0.427370	0.478810	85.366000	84.370000	99.462000	99.360000	
0.100000	0.419080	0.513772	85.656000	84.380000	99.432000	99.330000	
0.100000	0.425691	0.516412	85.594000	84.040000	99.404000	99.220000	
0.100000	0.402627	0.499465	86.284000	83.670000	99.488000	99.260000	
0.100000	0.405185	0.485342	86.158000	85.410000	99.466000	99.420000	
0.100000	0.403166	0.489915	86.286000	84.110000	99.450000	99.350000	
0.100000	0.400986	0.449522	86.440000	85.210000	99.544000	99.410000	
0.100000	0.392657	0.482116	86.706000	84.400000	99.588000	99.350000	
0.100000	0.400415	0.447625	86.540000	84.600000	99.514000	99.390000	
0.100000	0.379832	0.460716	87.134000	85.130000	99.536000	99.330000	
0.100000	0.393413	0.430782	86.686000	85.510000	99.498000	99.260000	
0.100000	0.373975	0.445981	87.118000	84.750000	99.570000	99.280000	
0.100000	0.373116	0.469032	87.274000	84.400000	99.608000	99.100000	
0.100000	0.368829	0.482085	87.520000	84.730000	99.608000	99.370000	
0.100000	0.371766	0.453770	87.328000	84.280000	99.598000	99.320000	
0.100000	0.370997	0.485053	87.286000	83.600000	99.620000	99.200000	
0.100000	0.351266	0.552588	87.964000	82.670000	99.618000	99.050000	
0.100000	0.361264	0.452564	87.808000	84.480000	99.646000	99.270000	
0.100000	0.360695	0.501974	87.838000	83.030000	99.590000	99.030000	
0.100000	0.365243	0.515234	87.604000	83.340000	99.616000	99.030000	
0.100000	0.356248	0.434166	87.974000	85.790000	99.636000	99.380000	
0.100000	0.352865	0.439494	87.930000	85.410000	99.638000	99.330000	
0.100000	0.346724	0.456151	87.962000	85.550000	99.610000	99.240000	
0.100000	0.355753	0.463235	87.770000	85.400000	99.624000	99.450000	
0.100000	0.346755	0.486460	88.184000	83.980000	99.646000	98.940000	
0.100000	0.351032	0.453717	88.058000	84.560000	99.618000	99.340000	
0.100000	0.338676	0.454114	88.506000	86.080000	99.674000	99.400000	
0.100000	0.337947	0.514906	88.482000	84.640000	99.654000	99.210000	
0.100000	0.340441	0.422439	88.360000	85.810000	99.668000	99.330000	
0.100000	0.335461	0.423690	88.556000	86.300000	99.666000	99.400000	
0.100000	0.341622	0.447707	88.404000	85.160000	99.688000	99.250000	
0.100000	0.334258	0.412841	88.632000	85.990000	99.722000	99.460000	
0.100000	0.329874	0.456516	88.774000	85.040000	99.672000	99.310000	
0.100000	0.329974	0.464480	88.730000	84.380000	99.676000	99.280000	
0.100000	0.323065	0.422814	89.178000	86.050000	99.692000	99.420000	
0.100000	0.332227	0.474842	88.682000	84.510000	99.674000	99.360000	
0.100000	0.326055	0.440264	88.914000	85.120000	99.694000	99.290000	
0.100000	0.330279	0.422621	88.850000	85.910000	99.684000	99.340000	
0.100000	0.334178	0.408645	88.738000	86.440000	99.662000	99.350000	
0.100000	0.319303	0.364445	89.202000	88.060000	99.686000	99.570000	
0.100000	0.328799	0.434875	88.972000	85.170000	99.672000	99.280000	
0.100000	0.325463	0.470980	89.100000	84.430000	99.688000	99.330000	
0.100000	0.318251	0.476422	89.042000	84.000000	99.700000	99.200000	
0.100000	0.332953	0.409780	88.786000	86.330000	99.652000	99.400000	
0.100000	0.315766	0.449312	89.282000	84.870000	99.716000	99.210000	
0.100000	0.326664	0.383493	88.914000	87.000000	99.710000	99.500000	
0.100000	0.311643	0.421140	89.398000	85.730000	99.714000	99.350000	
0.100000	0.310669	0.413350	89.368000	85.970000	99.698000	99.510000	
0.100000	0.322758	0.392324	89.154000	86.900000	99.722000	99.560000	
0.100000	0.315898	0.531248	89.258000	83.120000	99.710000	99.200000	
0.100000	0.317885	0.435321	89.322000	85.410000	99.704000	99.440000	
0.100000	0.315241	0.426473	89.420000	85.470000	99.706000	99.380000	
0.100000	0.306002	0.406577	89.676000	86.850000	99.758000	99.390000	
0.100000	0.330552	0.535419	88.870000	86.380000	99.684000	99.460000	
0.100000	0.332608	0.435231	88.844000	86.020000	99.686000	99.450000	
0.100000	0.310123	0.447540	89.508000	85.060000	99.734000	99.450000	
0.100000	0.312380	0.444424	89.442000	85.610000	99.728000	99.560000	
0.100000	0.309463	0.410996	89.604000	86.080000	99.684000	99.350000	
0.100000	0.306601	0.437402	89.564000	85.130000	99.720000	99.470000	
0.010000	0.185404	0.327062	93.582000	89.760000	99.892000	99.580000	
0.010000	0.152211	0.307742	94.664000	89.980000	99.940000	99.640000	
0.010000	0.144829	0.329334	94.932000	89.760000	99.912000	99.630000	
0.010000	0.137754	0.341810	95.190000	89.680000	99.924000	99.630000	
0.010000	0.129458	0.336039	95.382000	89.880000	99.954000	99.620000	
0.010000	0.124620	0.331754	95.500000	89.770000	99.952000	99.560000	
0.010000	0.121411	0.346252	95.724000	90.150000	99.960000	99.640000	
0.010000	0.119243	0.335501	95.828000	89.730000	99.960000	99.580000	
0.010000	0.113484	0.356058	95.998000	89.440000	99.940000	99.520000	
0.010000	0.114416	0.344305	96.034000	90.090000	99.958000	99.630000	
0.010000	0.108934	0.344630	96.196000	90.110000	99.972000	99.620000	
0.010000	0.105995	0.389045	96.226000	89.730000	99.964000	99.550000	
0.010000	0.101298	0.415799	96.316000	90.040000	99.970000	99.630000	
0.010000	0.100310	0.342562	96.350000	89.820000	99.978000	99.590000	
0.010000	0.099301	0.347485	96.526000	90.280000	99.966000	99.610000	
0.010000	0.097544	0.346285	96.496000	90.260000	99.972000	99.640000	
0.010000	0.094740	0.358053	96.548000	90.100000	99.980000	99.620000	
0.010000	0.095325	0.396039	96.534000	90.120000	99.974000	99.630000	
0.010000	0.091244	0.343249	96.716000	89.840000	99.982000	99.620000	
0.001000	0.079644	0.371119	97.106000	90.210000	99.982000	99.610000	
0.001000	0.075573	0.362157	97.262000	90.200000	99.984000	99.600000	
0.001000	0.074597	0.368039	97.334000	90.310000	99.986000	99.610000	
0.001000	0.074650	0.374053	97.316000	90.200000	99.982000	99.600000	
0.001000	0.071917	0.375646	97.422000	90.200000	99.976000	99.590000	
0.001000	0.074894	0.368056	97.350000	90.400000	99.976000	99.610000	
0.001000	0.070035	0.384769	97.500000	90.240000	99.982000	99.600000	
0.001000	0.072979	0.390661	97.440000	90.120000	99.974000	99.610000	
0.001000	0.069929	0.373781	97.486000	90.300000	99.988000	99.590000	
0.001000	0.069356	0.380243	97.500000	90.460000	99.990000	99.580000	
0.001000	0.068882	0.364506	97.496000	90.390000	99.994000	99.600000	
0.001000	0.068262	0.378961	97.562000	90.260000	99.990000	99.620000	
0.001000	0.065625	0.397912	97.646000	90.390000	99.992000	99.600000	
0.001000	0.067717	0.381384	97.542000	90.290000	99.980000	99.590000	
0.001000	0.064244	0.397538	97.694000	90.250000	99.980000	99.590000	
0.001000	0.065228	0.397761	97.656000	90.210000	99.980000	99.550000	
0.001000	0.064966	0.398145	97.626000	90.330000	99.984000	99.590000	
0.001000	0.066910	0.385824	97.660000	90.370000	99.984000	99.580000	
0.001000	0.067218	0.384382	97.564000	90.370000	99.986000	99.590000	
0.001000	0.065123	0.383632	97.630000	90.450000	99.986000	99.610000	
0.000100	0.062857	0.392162	97.704000	90.370000	99.990000	99.610000	
0.000100	0.065192	0.388648	97.664000	90.390000	99.978000	99.600000	
0.000100	0.063973	0.390897	97.666000	90.350000	99.986000	99.600000	
0.000100	0.064192	0.391729	97.646000	90.360000	99.988000	99.590000	
0.000100	0.062456	0.393361	97.756000	90.460000	99.986000	99.590000	
0.000100	0.064821	0.390999	97.696000	90.430000	99.990000	99.600000	
0.000100	0.063139	0.394168	97.708000	90.450000	99.990000	99.590000	
0.000100	0.062973	0.393683	97.746000	90.460000	99.986000	99.580000	
0.000100	0.061448	0.399287	97.798000	90.490000	99.994000	99.590000	
0.000100	0.062361	0.396390	97.762000	90.410000	99.982000	99.580000	
