Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.300000	1.785652	1.511412	31.536000	43.880000	84.994000	91.580000	
0.300000	1.285056	1.334208	52.986000	54.720000	94.028000	94.240000	
0.300000	1.018591	1.036491	63.574000	64.120000	96.586000	96.620000	
0.300000	0.870860	0.970677	69.266000	66.980000	97.554000	97.350000	
0.300000	0.743116	0.938967	74.184000	68.590000	98.232000	97.720000	
0.300000	0.678272	0.789908	76.588000	73.410000	98.474000	98.190000	
0.300000	0.624149	0.845822	78.338000	73.020000	98.718000	98.120000	
0.300000	0.589022	0.693271	79.600000	76.020000	98.854000	98.790000	
0.300000	0.570250	1.095073	80.238000	69.480000	98.930000	97.370000	
0.300000	0.548149	0.793078	81.136000	75.860000	99.030000	97.800000	
0.300000	0.526612	0.785567	81.934000	73.700000	99.110000	97.700000	
0.300000	0.514166	0.744921	82.490000	77.120000	99.144000	97.870000	
0.300000	0.498752	0.685356	82.854000	78.050000	99.192000	98.640000	
0.300000	0.479558	0.621239	83.378000	78.600000	99.234000	98.750000	
0.300000	0.478013	0.683021	83.400000	77.070000	99.268000	98.400000	
0.300000	0.473359	0.636944	83.708000	79.040000	99.226000	98.730000	
0.300000	0.457754	0.689041	84.142000	77.660000	99.336000	98.680000	
0.300000	0.462435	0.810787	83.956000	74.540000	99.308000	98.100000	
0.300000	0.444554	0.733019	84.706000	76.090000	99.330000	98.850000	
0.300000	0.434374	0.773541	85.130000	77.320000	99.338000	98.060000	
0.300000	0.432321	0.635637	85.092000	80.410000	99.376000	98.580000	
0.300000	0.428715	0.528192	85.138000	82.490000	99.396000	99.210000	
0.300000	0.431922	0.590410	85.020000	80.290000	99.432000	99.050000	
0.300000	0.421232	0.595793	85.576000	80.910000	99.410000	99.040000	
0.300000	0.417488	0.552439	85.670000	83.030000	99.474000	99.020000	
0.300000	0.416597	0.646527	85.706000	79.130000	99.422000	99.190000	
0.300000	0.414299	0.662090	85.702000	78.540000	99.392000	98.920000	
0.300000	0.404363	0.606639	86.310000	80.630000	99.448000	98.640000	
