Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.633146	1.457725	38.360000	49.560000	88.430000	91.550000	
0.100000	1.138689	1.024764	58.892000	63.890000	95.562000	96.800000	
0.100000	0.919116	1.053185	67.334000	64.820000	97.370000	95.800000	
0.100000	0.786344	0.941589	72.254000	68.240000	98.142000	97.650000	
0.100000	0.684005	0.819911	76.036000	71.840000	98.606000	98.260000	
0.100000	0.624269	0.814897	78.232000	73.460000	98.840000	97.800000	
0.100000	0.575554	0.671920	79.964000	77.150000	98.958000	98.690000	
0.100000	0.543314	0.711399	81.308000	75.830000	99.074000	98.690000	
0.100000	0.508746	0.713526	82.374000	76.550000	99.150000	98.900000	
0.100000	0.493331	0.571777	83.000000	80.600000	99.288000	99.070000	
0.100000	0.469190	0.732923	83.590000	77.220000	99.266000	98.650000	
0.100000	0.454496	0.531271	84.428000	82.370000	99.354000	99.190000	
0.100000	0.433005	0.537250	85.084000	81.750000	99.392000	99.100000	
0.100000	0.423077	0.598999	85.208000	81.110000	99.466000	99.070000	
0.100000	0.411650	0.532357	85.664000	82.310000	99.440000	98.830000	
0.100000	0.397511	0.511882	86.224000	83.020000	99.500000	99.260000	
0.100000	0.388623	0.551017	86.534000	81.740000	99.550000	99.240000	
0.100000	0.382624	0.465187	86.672000	84.760000	99.560000	99.280000	
0.100000	0.371543	0.522642	87.098000	83.040000	99.538000	98.990000	
0.100000	0.359833	0.591525	87.680000	81.980000	99.568000	98.870000	
0.100000	0.362187	0.537268	87.382000	82.590000	99.606000	99.150000	
0.100000	0.349746	0.607853	87.898000	80.510000	99.618000	99.160000	
0.100000	0.347489	0.457314	87.994000	84.620000	99.622000	99.310000	
0.100000	0.333670	0.453806	88.328000	85.100000	99.670000	99.410000	
0.100000	0.335747	0.560751	88.318000	82.250000	99.628000	99.030000	
0.100000	0.325973	0.612259	88.528000	81.310000	99.676000	99.240000	
0.100000	0.324067	0.514107	88.646000	83.800000	99.660000	99.190000	
0.100000	0.316643	0.469196	89.038000	84.910000	99.680000	99.150000	
0.100000	0.319016	0.580951	88.888000	81.940000	99.704000	99.060000	
0.100000	0.305278	0.458877	89.280000	84.990000	99.708000	99.390000	
0.100000	0.301272	0.516261	89.454000	83.280000	99.724000	99.500000	
0.100000	0.298946	0.406159	89.512000	86.520000	99.762000	99.510000	
0.100000	0.297823	0.495487	89.638000	84.810000	99.736000	99.220000	
0.100000	0.299465	0.526551	89.556000	83.130000	99.714000	99.210000	
0.100000	0.291719	0.539633	89.648000	83.570000	99.772000	98.950000	
0.100000	0.288484	0.454645	89.920000	85.410000	99.756000	99.360000	
0.100000	0.284872	0.469278	89.896000	85.190000	99.748000	99.440000	
0.100000	0.280022	0.539948	90.262000	83.240000	99.800000	99.220000	
0.100000	0.272803	0.561019	90.370000	83.450000	99.814000	99.230000	
0.100000	0.276000	0.517893	90.376000	84.480000	99.780000	99.450000	
0.100000	0.275947	0.728035	90.330000	79.690000	99.830000	98.440000	
0.100000	0.270441	0.393046	90.652000	86.830000	99.760000	99.480000	
0.100000	0.267667	0.451569	90.596000	85.600000	99.812000	99.550000	
0.100000	0.264936	0.444321	90.522000	85.820000	99.788000	99.430000	
0.100000	0.268068	0.523872	90.618000	84.750000	99.804000	99.200000	
0.100000	0.260101	0.483392	90.974000	85.190000	99.810000	99.380000	
0.100000	0.257561	0.529133	90.952000	84.490000	99.832000	99.250000	
0.100000	0.257141	0.414500	91.104000	86.790000	99.798000	99.490000	
0.100000	0.259822	0.481908	90.828000	85.520000	99.808000	99.410000	
0.100000	0.254217	0.447882	91.098000	86.300000	99.828000	99.420000	
0.100000	0.255140	0.455739	91.062000	85.670000	99.786000	99.590000	
0.100000	0.257442	0.398596	91.028000	87.510000	99.786000	99.590000	
0.100000	0.254219	0.536330	91.048000	84.570000	99.826000	98.900000	
0.100000	0.246783	0.412518	91.312000	86.970000	99.824000	99.540000	
0.100000	0.245466	0.558826	91.310000	83.380000	99.850000	99.280000	
0.100000	0.250347	0.507835	91.240000	83.930000	99.832000	99.320000	
0.100000	0.248608	0.499741	91.164000	84.970000	99.814000	99.270000	
0.100000	0.245878	0.444972	91.390000	86.250000	99.846000	99.600000	
0.100000	0.237815	0.514984	91.588000	84.490000	99.862000	99.460000	
0.100000	0.242829	0.480409	91.500000	85.100000	99.816000	99.580000	
0.100000	0.242117	0.610932	91.500000	82.490000	99.830000	99.220000	
0.100000	0.245287	0.473507	91.400000	86.080000	99.868000	99.530000	
0.100000	0.234389	0.516733	91.682000	84.160000	99.860000	99.470000	
0.100000	0.237367	0.542028	91.756000	84.490000	99.838000	99.100000	
0.100000	0.237464	0.467163	91.656000	85.590000	99.848000	99.400000	
0.100000	0.235730	0.534251	91.540000	83.670000	99.848000	99.510000	
0.100000	0.235588	0.517925	91.692000	84.210000	99.850000	99.250000	
0.100000	0.230694	0.441056	91.896000	86.280000	99.870000	99.530000	
0.100000	0.231497	0.482644	91.870000	84.890000	99.832000	99.470000	
0.100000	0.229682	0.528585	91.956000	84.840000	99.850000	99.370000	
0.100000	0.228959	0.521620	92.038000	84.740000	99.848000	99.390000	
0.100000	0.231592	0.385641	91.836000	87.700000	99.842000	99.600000	
0.100000	0.226913	0.508136	92.056000	85.230000	99.864000	99.330000	
0.100000	0.232516	0.395393	91.814000	87.440000	99.866000	99.480000	
0.100000	0.228492	0.453172	92.048000	86.270000	99.850000	99.410000	
0.100000	0.229090	0.448694	92.026000	85.410000	99.838000	99.420000	
0.100000	0.227630	0.675448	92.042000	80.910000	99.882000	99.280000	
0.100000	0.226014	0.439942	92.058000	86.280000	99.888000	99.540000	
0.100000	0.229627	0.444841	91.906000	86.100000	99.876000	99.360000	
0.100000	0.222561	0.551130	92.242000	84.480000	99.850000	99.490000	
