Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	4.372695	4.645428	3.152000	2.770000	13.372000	12.730000	
0.100000	4.008469	4.188727	7.040000	5.410000	25.124000	21.910000	
0.100000	3.820012	3.720653	9.614000	11.280000	31.084000	33.950000	
0.100000	3.644588	4.085649	12.468000	7.890000	36.568000	26.300000	
0.100000	3.495528	3.714177	14.840000	13.280000	41.196000	36.340000	
0.100000	3.336720	3.896762	17.840000	10.800000	45.576000	33.030000	
0.100000	3.184831	4.112975	20.334000	9.910000	49.720000	29.750000	
0.100000	3.046892	4.492331	22.738000	10.840000	53.558000	30.740000	
0.100000	2.902970	3.872407	25.508000	13.780000	57.304000	38.510000	
0.100000	2.791925	4.366485	27.592000	13.090000	60.384000	35.520000	
0.100000	2.678065	4.792778	29.746000	13.330000	63.358000	34.140000	
0.100000	2.588976	4.622176	31.736000	11.660000	65.298000	32.200000	
0.100000	2.505846	3.418154	33.274000	19.730000	67.122000	47.940000	
0.100000	2.429862	4.565233	35.096000	12.730000	69.038000	34.110000	
0.100000	2.374363	3.107763	36.310000	25.500000	69.976000	57.680000	
0.100000	2.311406	4.061363	37.626000	14.960000	71.516000	41.700000	
0.100000	2.253040	4.552456	38.738000	14.870000	72.842000	37.700000	
0.100000	2.207746	3.196879	40.006000	23.620000	73.746000	54.280000	
0.100000	2.156709	5.076042	41.230000	12.690000	74.860000	35.780000	
0.100000	2.106809	5.399434	42.300000	12.450000	75.862000	33.040000	
0.100000	2.069714	4.348215	43.066000	15.410000	76.344000	41.610000	
0.100000	2.024449	3.986391	44.388000	16.300000	77.258000	43.150000	
0.100000	1.993484	3.553586	45.088000	24.090000	77.986000	54.130000	
0.100000	1.962206	5.575004	45.800000	12.670000	78.546000	31.390000	
0.100000	1.927545	2.996826	46.614000	28.810000	79.390000	61.680000	
0.100000	1.898889	2.608849	47.168000	33.760000	79.782000	66.770000	
0.100000	1.867224	3.966714	47.936000	21.270000	80.366000	49.390000	
0.100000	1.844091	3.123307	48.382000	27.590000	80.842000	59.320000	
0.100000	1.835527	3.658963	49.066000	23.790000	81.164000	54.530000	
0.100000	1.793402	3.669228	49.806000	24.360000	81.646000	54.270000	
0.100000	1.784544	2.853286	50.116000	31.300000	82.040000	63.500000	
0.100000	1.768556	3.070994	50.514000	30.760000	82.260000	63.620000	
0.100000	1.739003	2.843807	51.308000	30.760000	82.596000	63.540000	
0.100000	1.725460	2.663422	51.414000	33.580000	82.910000	66.310000	
0.100000	1.713613	3.061363	51.872000	29.930000	82.854000	62.860000	
0.100000	1.686275	3.880310	52.546000	25.080000	83.590000	54.650000	
0.100000	1.665176	3.099617	53.202000	27.670000	83.946000	58.960000	
0.100000	1.658494	2.848430	53.266000	31.660000	83.994000	63.920000	
0.100000	1.654695	2.504111	53.290000	38.310000	83.892000	70.160000	
0.100000	1.634358	3.299016	54.010000	29.230000	84.496000	60.060000	
0.010000	1.396429	1.506419	60.120000	57.260000	88.106000	85.740000	
0.010000	1.336057	1.497113	61.858000	57.370000	88.946000	85.970000	
0.010000	1.322219	1.478509	62.126000	57.950000	89.224000	86.270000	
0.010000	1.310809	1.496953	62.308000	57.790000	89.252000	85.800000	
0.010000	1.300597	1.492290	62.574000	57.200000	89.496000	85.880000	
0.010000	1.286415	1.498355	63.024000	57.240000	89.616000	85.840000	
0.010000	1.281413	1.473731	63.058000	58.180000	89.704000	85.980000	
0.010000	1.272633	1.458267	63.536000	58.680000	89.910000	86.490000	
0.010000	1.267998	1.501490	63.480000	57.280000	89.808000	85.810000	
0.010000	1.264011	1.469985	63.736000	58.520000	89.862000	86.630000	
0.010000	1.256599	1.500518	63.778000	57.580000	90.000000	86.060000	
0.010000	1.251409	1.484051	63.858000	57.590000	90.038000	86.190000	
0.010000	1.246438	1.473506	63.980000	58.280000	90.166000	86.020000	
0.010000	1.244059	1.507294	64.156000	57.750000	90.160000	86.110000	
0.010000	1.239474	1.501285	64.356000	57.300000	90.214000	86.110000	
0.010000	1.232443	1.459847	64.484000	58.910000	90.294000	86.500000	
0.010000	1.226700	1.454254	64.730000	58.790000	90.454000	86.610000	
0.010000	1.225167	1.459603	64.706000	58.680000	90.312000	86.220000	
0.010000	1.219678	1.454477	64.628000	58.860000	90.518000	86.660000	
0.010000	1.218020	1.459706	64.702000	58.960000	90.534000	86.920000	
0.010000	1.211504	1.488981	65.024000	58.030000	90.640000	86.110000	
0.010000	1.207700	1.460487	65.052000	58.470000	90.734000	86.780000	
0.010000	1.208242	1.485046	64.756000	58.230000	90.716000	86.130000	
0.010000	1.207394	1.440987	64.934000	59.120000	90.582000	86.520000	
0.010000	1.194283	1.456243	65.300000	58.680000	90.872000	86.510000	
0.010000	1.191249	1.454495	65.282000	58.750000	90.840000	86.810000	
0.010000	1.193264	1.455986	65.336000	59.100000	90.898000	86.790000	
0.010000	1.187629	1.492338	65.628000	58.040000	90.866000	86.190000	
0.010000	1.182083	1.460792	65.358000	58.800000	90.976000	86.590000	
0.010000	1.182950	1.472151	65.670000	58.750000	90.960000	86.560000	
0.010000	1.178213	1.532933	65.754000	56.780000	91.158000	85.590000	
0.010000	1.178481	1.453361	65.722000	58.910000	91.096000	86.940000	
0.010000	1.175781	1.438210	65.760000	59.240000	91.078000	86.800000	
0.010000	1.167232	1.508841	66.102000	57.340000	91.238000	86.100000	
0.010000	1.169292	1.449592	66.064000	59.040000	91.196000	86.770000	
0.010000	1.163790	1.450085	66.302000	58.890000	91.278000	87.080000	
0.010000	1.163284	1.493559	66.202000	57.880000	91.310000	86.270000	
0.010000	1.156448	1.492974	66.098000	58.400000	91.290000	86.190000	
0.010000	1.157798	1.440163	66.292000	59.580000	91.270000	87.230000	
0.010000	1.150916	1.482366	66.514000	58.520000	91.346000	86.370000	
0.001000	1.115325	1.373580	67.482000	61.110000	91.922000	87.530000	
0.001000	1.101874	1.377747	68.010000	61.100000	92.100000	87.540000	
0.001000	1.096247	1.375759	68.224000	60.960000	92.106000	87.650000	
0.001000	1.097603	1.370533	68.110000	60.850000	92.030000	87.670000	
0.001000	1.094405	1.369833	68.144000	60.930000	92.112000	87.640000	
0.001000	1.098285	1.369503	67.944000	61.030000	92.178000	87.510000	
0.001000	1.094840	1.368261	68.150000	61.040000	92.214000	87.650000	
0.001000	1.092857	1.367219	67.942000	61.030000	92.232000	87.590000	
0.001000	1.088112	1.366492	68.550000	61.040000	92.210000	87.720000	
0.001000	1.090780	1.362661	68.276000	61.240000	92.278000	87.820000	
0.001000	1.089203	1.364409	68.162000	61.090000	92.204000	87.610000	
0.001000	1.091845	1.368905	68.234000	60.990000	92.286000	87.590000	
0.001000	1.092426	1.367685	68.434000	60.880000	92.080000	87.690000	
0.001000	1.091374	1.371413	68.054000	60.970000	92.154000	87.490000	
0.001000	1.087901	1.369214	68.308000	61.040000	92.280000	87.740000	
0.001000	1.090400	1.369560	68.258000	60.720000	92.216000	87.750000	
0.001000	1.088418	1.364666	68.338000	61.010000	92.288000	87.740000	
0.001000	1.084905	1.367352	68.466000	61.170000	92.310000	87.720000	
0.001000	1.082420	1.366762	68.438000	61.110000	92.406000	87.770000	
0.001000	1.083176	1.364361	68.454000	61.340000	92.380000	87.710000	
0.001000	1.084459	1.364556	68.524000	61.100000	92.290000	87.720000	
0.001000	1.081207	1.363038	68.552000	61.180000	92.272000	87.740000	
0.001000	1.083566	1.368123	68.472000	61.140000	92.260000	87.600000	
0.001000	1.079368	1.362240	68.486000	61.160000	92.452000	87.780000	
0.001000	1.086354	1.362341	68.406000	61.490000	92.212000	87.740000	
0.001000	1.081812	1.367384	68.646000	60.980000	92.346000	87.630000	
0.001000	1.079728	1.364288	68.604000	61.270000	92.392000	87.640000	
0.001000	1.078703	1.359912	68.606000	61.430000	92.316000	87.860000	
0.001000	1.083769	1.364759	68.352000	61.110000	92.346000	87.720000	
0.001000	1.078709	1.365281	68.448000	61.050000	92.348000	87.710000	
0.001000	1.077265	1.364352	68.656000	60.970000	92.354000	87.830000	
0.001000	1.075515	1.366265	68.622000	60.900000	92.384000	87.750000	
0.001000	1.076122	1.362105	68.688000	61.130000	92.516000	87.790000	
