Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	4.036275	3.671790	7.116000	12.120000	24.504000	37.010000	
0.100000	3.346787	3.139634	17.850000	22.370000	45.680000	53.040000	
0.100000	2.877685	2.733521	26.454000	29.530000	58.356000	62.680000	
0.100000	2.570394	2.449993	32.650000	35.020000	65.770000	68.630000	
0.100000	2.347831	2.300880	37.722000	38.940000	70.844000	72.800000	
0.100000	2.185403	2.225369	41.152000	40.690000	74.186000	73.620000	
0.100000	2.077541	2.093511	43.638000	43.420000	76.314000	76.090000	
0.100000	1.987826	2.076171	45.612000	44.160000	78.154000	76.530000	
0.100000	1.898288	1.977163	47.846000	45.950000	79.572000	77.920000	
0.100000	1.843932	1.943271	49.078000	47.390000	80.696000	78.450000	
0.100000	1.799363	1.885194	50.338000	48.690000	81.698000	79.920000	
0.100000	1.751382	1.896136	51.368000	48.710000	82.288000	79.800000	
0.100000	1.713635	1.831481	52.238000	49.950000	83.062000	80.480000	
0.100000	1.674066	1.855080	53.478000	49.660000	83.658000	80.460000	
0.100000	1.640354	1.765284	53.936000	51.560000	84.206000	81.600000	
0.100000	1.624784	1.783804	54.516000	51.080000	84.380000	81.410000	
0.100000	1.601453	1.765613	55.150000	51.830000	84.950000	81.750000	
0.100000	1.571313	1.730648	55.802000	52.300000	85.320000	82.750000	
0.100000	1.550708	1.738299	56.256000	52.330000	85.498000	82.450000	
0.100000	1.546768	1.769057	56.518000	51.930000	85.644000	81.750000	
0.100000	1.520118	1.707638	57.074000	52.690000	86.120000	82.460000	
0.100000	1.508826	1.648235	57.266000	53.920000	86.152000	83.510000	
0.100000	1.491864	1.696101	57.828000	52.900000	86.474000	82.590000	
0.100000	1.485859	1.658536	57.680000	54.310000	86.654000	83.350000	
0.100000	1.475276	1.700022	58.158000	53.440000	86.808000	82.540000	
0.100000	1.459430	1.727816	58.538000	52.270000	87.048000	82.060000	
0.100000	1.446677	1.691612	58.984000	53.740000	87.230000	82.810000	
0.100000	1.440611	1.665266	59.110000	53.450000	87.200000	83.630000	
0.100000	1.428494	1.702234	59.272000	54.100000	87.488000	82.870000	
0.100000	1.414645	1.621208	59.624000	55.310000	87.696000	84.280000	
0.100000	1.415697	1.658012	59.460000	53.820000	87.822000	83.820000	
0.100000	1.409047	1.643373	59.702000	54.140000	87.722000	84.330000	
