Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	4.081224	3.712415	6.336000	11.630000	22.914000	35.520000	
0.100000	3.438902	3.196960	15.804000	19.960000	42.924000	50.280000	
0.100000	2.950578	2.783427	25.072000	27.810000	56.642000	61.040000	
0.100000	2.630131	2.489067	31.624000	34.310000	64.730000	68.100000	
0.100000	2.412230	2.342421	35.882000	37.490000	69.462000	70.750000	
0.100000	2.252050	2.185635	39.666000	41.210000	72.898000	74.130000	
0.100000	2.139350	2.125521	42.252000	42.920000	75.268000	75.710000	
0.100000	2.055078	2.114303	44.308000	44.730000	77.014000	76.610000	
0.100000	1.977366	2.027033	46.210000	45.310000	78.432000	77.320000	
0.100000	1.939746	1.970707	47.152000	46.200000	79.168000	78.340000	
0.100000	1.885506	2.006677	48.422000	46.100000	80.086000	77.610000	
0.100000	1.865676	1.908530	48.966000	48.800000	80.598000	80.040000	
0.100000	1.819662	1.935486	49.918000	46.670000	81.038000	79.150000	
0.100000	1.777169	1.847799	51.228000	49.230000	81.900000	80.280000	
0.100000	1.743340	1.836834	51.854000	49.730000	82.456000	80.300000	
0.100000	1.731646	1.833550	52.216000	49.390000	82.784000	80.250000	
0.100000	1.711388	1.971092	52.668000	48.350000	83.146000	80.310000	
0.100000	1.691525	1.821073	52.962000	50.040000	83.364000	80.890000	
0.100000	1.675449	1.783221	53.446000	50.860000	83.740000	81.820000	
0.100000	1.660809	1.822364	53.732000	50.290000	83.898000	80.880000	
0.100000	1.658696	1.772125	54.168000	51.950000	84.034000	81.940000	
0.100000	1.636208	1.836402	54.226000	50.640000	84.544000	80.770000	
0.100000	1.631107	1.748386	54.640000	52.220000	84.604000	81.750000	
0.100000	1.620787	1.869063	54.738000	49.910000	84.486000	80.580000	
0.100000	1.602038	1.741070	55.302000	52.220000	84.954000	81.600000	
0.100000	1.594876	1.697759	55.326000	53.290000	84.936000	82.810000	
0.100000	1.582529	1.670363	55.500000	53.410000	85.264000	83.500000	
0.100000	1.573141	1.878637	56.086000	51.890000	85.312000	81.380000	
0.100000	1.567273	1.715294	56.122000	53.390000	85.454000	82.190000	
0.100000	1.554822	1.711257	56.426000	52.120000	85.570000	83.020000	
