Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.200000	4.229870	3.927302	4.826000	9.250000	18.076000	28.600000	
0.200000	3.744485	3.698806	10.942000	12.260000	33.778000	36.030000	
0.200000	3.475066	3.383775	15.554000	16.730000	42.198000	44.890000	
0.200000	3.208234	3.109073	20.302000	21.720000	49.618000	52.260000	
0.200000	2.900412	2.797891	25.504000	28.130000	57.844000	60.740000	
0.200000	2.654230	2.648592	30.638000	31.270000	63.852000	64.340000	
0.200000	2.467495	2.435475	34.570000	35.190000	68.040000	69.340000	
0.200000	2.317703	2.359860	38.008000	37.130000	71.552000	70.650000	
0.200000	2.184435	2.231858	40.842000	39.860000	74.270000	73.260000	
0.200000	2.093399	2.165590	42.798000	41.680000	75.942000	75.260000	
0.200000	2.004982	2.094066	44.794000	43.500000	77.756000	76.130000	
0.200000	1.918196	2.024513	47.204000	45.020000	79.430000	78.100000	
0.200000	1.854875	2.009821	48.364000	45.910000	80.492000	77.940000	
0.200000	1.795738	1.981543	49.864000	46.020000	81.500000	78.620000	
0.200000	1.752671	1.902458	50.762000	48.590000	82.456000	79.170000	
0.200000	1.702268	1.887958	52.122000	48.510000	83.284000	79.820000	
0.200000	1.666277	1.866424	52.982000	48.660000	84.020000	80.370000	
0.200000	1.620963	1.884687	54.150000	49.210000	84.564000	80.250000	
0.200000	1.602544	1.839842	54.518000	49.470000	84.840000	80.770000	
0.200000	1.568033	1.787333	55.712000	51.320000	85.336000	82.140000	
0.200000	1.528443	1.780505	56.450000	50.560000	86.046000	82.050000	
0.200000	1.505937	1.730135	57.466000	51.910000	86.212000	83.050000	
0.200000	1.484347	1.747146	57.488000	52.370000	86.772000	82.990000	
0.200000	1.454386	1.750491	58.266000	52.720000	87.078000	82.890000	
0.200000	1.441650	1.729282	58.462000	52.680000	87.458000	83.040000	
0.200000	1.416417	1.744056	59.248000	52.500000	87.728000	82.670000	
0.200000	1.404967	1.647963	59.804000	55.100000	87.844000	84.400000	
0.200000	1.378184	1.678928	60.480000	54.380000	88.090000	83.820000	
0.200000	1.359635	1.612102	60.748000	55.700000	88.364000	84.750000	
0.200000	1.342725	1.645390	61.236000	54.790000	88.582000	84.680000	
0.200000	1.341632	1.656158	61.284000	55.010000	88.796000	84.370000	
0.200000	1.318609	1.629585	61.884000	55.980000	89.036000	84.610000	
0.200000	1.314707	1.631336	62.004000	55.600000	89.144000	84.780000	
0.200000	1.300799	1.631527	62.050000	55.540000	89.432000	84.960000	
0.200000	1.287560	1.625635	62.616000	55.540000	89.604000	84.420000	
0.200000	1.273085	1.644092	63.006000	55.370000	89.648000	84.310000	
0.200000	1.259007	1.593485	63.204000	56.030000	90.074000	84.930000	
0.200000	1.243394	1.619496	63.878000	55.850000	90.148000	85.450000	
0.200000	1.252775	1.637352	63.434000	55.670000	89.998000	85.600000	
0.200000	1.229194	1.594423	64.194000	56.560000	90.316000	85.440000	
0.200000	1.225855	1.626164	64.186000	56.180000	90.376000	84.830000	
0.200000	1.217027	1.610711	64.392000	56.290000	90.674000	85.200000	
0.200000	1.220669	1.541221	64.402000	58.090000	90.410000	85.860000	
0.200000	1.201515	1.599067	64.564000	56.700000	90.812000	85.010000	
0.200000	1.194698	1.624018	64.876000	56.410000	90.780000	85.090000	
0.200000	1.188904	1.575216	65.110000	56.560000	91.000000	85.590000	
0.200000	1.171603	1.580410	65.544000	57.520000	91.212000	85.340000	
0.200000	1.181928	1.574984	65.132000	57.200000	91.184000	86.170000	
0.200000	1.175473	1.630537	65.300000	56.760000	91.272000	84.970000	
0.200000	1.160510	1.605894	65.838000	56.370000	91.404000	85.290000	
0.200000	1.168707	1.622009	65.682000	56.340000	91.254000	85.070000	
0.200000	1.149727	1.576741	66.166000	57.360000	91.584000	85.340000	
0.200000	1.140106	1.583220	66.452000	57.770000	91.580000	85.510000	
0.200000	1.133825	1.607292	66.496000	56.930000	91.662000	84.950000	
0.200000	1.134071	1.604064	66.344000	56.560000	91.756000	85.390000	
0.200000	1.137628	1.584950	66.300000	57.850000	91.678000	85.770000	
0.200000	1.129996	1.589168	66.678000	57.350000	91.698000	85.710000	
0.200000	1.123301	1.536045	66.662000	58.450000	91.828000	86.240000	
0.200000	1.123054	1.511431	66.592000	58.780000	91.958000	86.360000	
0.200000	1.116034	1.594932	66.908000	57.440000	91.860000	85.090000	
0.200000	1.115309	1.544850	66.910000	58.570000	91.954000	86.100000	
0.200000	1.104242	1.578792	67.384000	57.040000	92.154000	85.410000	
0.200000	1.090449	1.609091	67.530000	56.700000	92.250000	85.250000	
0.200000	1.096140	1.638387	67.600000	56.640000	92.242000	84.920000	
0.200000	1.095752	1.577117	67.376000	57.780000	92.182000	85.920000	
0.200000	1.086947	1.592520	67.846000	57.740000	92.466000	85.790000	
0.200000	1.086252	1.576341	67.716000	57.570000	92.280000	85.550000	
0.200000	1.083551	1.588426	67.944000	57.460000	92.404000	85.240000	
0.200000	1.078098	1.675961	67.988000	56.150000	92.376000	84.490000	
0.200000	1.083200	1.604502	67.666000	57.080000	92.350000	85.130000	
0.200000	1.076874	1.571800	68.062000	58.160000	92.470000	85.780000	
0.200000	1.074255	1.549930	67.960000	57.980000	92.490000	86.500000	
0.200000	1.068099	1.618592	68.262000	56.900000	92.510000	85.120000	
0.200000	1.065516	1.592219	68.336000	57.420000	92.566000	85.660000	
0.200000	1.062363	1.591192	68.430000	56.980000	92.650000	85.450000	
0.200000	1.060226	1.572782	68.456000	58.270000	92.542000	86.260000	
0.200000	1.054614	1.531605	68.640000	58.780000	92.726000	86.300000	
0.200000	1.057386	1.660382	68.606000	56.420000	92.626000	84.400000	
0.200000	1.060162	1.571553	68.380000	58.120000	92.752000	85.540000	
0.200000	1.043359	1.553084	69.038000	58.440000	92.866000	86.320000	
0.200000	1.052674	1.603960	68.572000	57.650000	92.828000	85.240000	
0.020000	0.812483	1.387569	75.960000	62.590000	95.268000	88.230000	
0.020000	0.730308	1.380321	77.996000	62.870000	95.988000	88.720000	
0.020000	0.705698	1.372825	78.838000	63.320000	96.290000	88.820000	
0.020000	0.689444	1.365709	79.188000	63.540000	96.320000	88.880000	
0.020000	0.672184	1.374162	79.534000	63.760000	96.512000	88.750000	
0.020000	0.664600	1.396653	79.778000	63.260000	96.566000	88.590000	
0.020000	0.654023	1.386352	80.272000	63.380000	96.720000	88.710000	
0.020000	0.646457	1.393146	80.362000	63.150000	96.814000	88.810000	
0.020000	0.642231	1.395589	80.576000	63.460000	96.902000	88.700000	
0.020000	0.635519	1.385235	80.528000	63.650000	96.856000	88.900000	
0.020000	0.629226	1.397589	80.936000	63.460000	96.976000	88.750000	
0.020000	0.622397	1.404570	81.068000	63.050000	97.086000	88.900000	
0.020000	0.616129	1.412127	81.326000	63.230000	97.018000	88.450000	
0.020000	0.612977	1.440033	81.346000	62.620000	97.112000	88.100000	
0.020000	0.610358	1.422058	81.290000	63.270000	97.156000	88.380000	
0.020000	0.604814	1.445542	81.622000	62.600000	97.196000	88.070000	
0.020000	0.603273	1.424495	81.380000	63.060000	97.096000	88.630000	
0.020000	0.594625	1.439969	81.786000	63.040000	97.354000	88.560000	
0.020000	0.587282	1.430865	81.898000	63.420000	97.406000	88.410000	
0.002000	0.561070	1.415289	82.978000	63.630000	97.522000	88.520000	
0.002000	0.550889	1.414866	83.202000	63.670000	97.618000	88.560000	
0.002000	0.552450	1.417415	83.162000	63.530000	97.600000	88.480000	
0.002000	0.550449	1.415590	83.234000	63.580000	97.570000	88.420000	
0.002000	0.550169	1.423268	83.276000	63.390000	97.592000	88.560000	
0.002000	0.542544	1.422782	83.478000	63.720000	97.660000	88.520000	
0.002000	0.542273	1.425813	83.596000	63.570000	97.642000	88.590000	
0.002000	0.545365	1.420210	83.288000	63.750000	97.638000	88.590000	
0.002000	0.540961	1.425639	83.488000	63.560000	97.714000	88.610000	
0.002000	0.540080	1.426164	83.358000	63.560000	97.678000	88.540000	
0.002000	0.539773	1.427973	83.544000	63.690000	97.766000	88.550000	
0.002000	0.545057	1.428471	83.504000	63.550000	97.640000	88.500000	
0.002000	0.537684	1.430989	83.584000	63.530000	97.690000	88.440000	
0.002000	0.538775	1.431427	83.408000	63.480000	97.792000	88.430000	
0.002000	0.537190	1.436921	83.578000	63.520000	97.710000	88.460000	
0.002000	0.539574	1.431620	83.654000	63.520000	97.698000	88.420000	
0.002000	0.536507	1.436805	83.634000	63.480000	97.678000	88.410000	
0.002000	0.536303	1.429861	83.600000	63.830000	97.700000	88.540000	
0.002000	0.535794	1.433422	83.620000	63.700000	97.704000	88.570000	
0.002000	0.537624	1.435986	83.566000	63.610000	97.714000	88.540000	
0.002000	0.535513	1.431142	83.790000	63.710000	97.764000	88.540000	
0.002000	0.533295	1.438907	83.646000	63.470000	97.736000	88.390000	
0.002000	0.533119	1.438997	83.646000	63.640000	97.752000	88.460000	
0.002000	0.529171	1.438142	83.872000	63.530000	97.864000	88.590000	
0.002000	0.534552	1.442346	83.804000	63.430000	97.688000	88.510000	
0.002000	0.531845	1.442352	83.736000	63.540000	97.772000	88.430000	
0.002000	0.531502	1.440073	83.764000	63.460000	97.812000	88.470000	
0.002000	0.529825	1.446800	83.784000	63.460000	97.792000	88.310000	
0.002000	0.530354	1.442251	83.834000	63.480000	97.818000	88.470000	
0.002000	0.527130	1.443038	84.098000	63.480000	97.802000	88.410000	
0.002000	0.530954	1.444488	83.810000	63.500000	97.822000	88.470000	
0.002000	0.528978	1.447005	83.854000	63.380000	97.792000	88.430000	
0.002000	0.531039	1.448100	83.726000	63.500000	97.754000	88.330000	
0.002000	0.530225	1.448718	83.786000	63.480000	97.730000	88.380000	
0.002000	0.525996	1.451055	83.912000	63.230000	97.842000	88.280000	
0.002000	0.526138	1.451782	83.906000	63.370000	97.808000	88.370000	
0.002000	0.527493	1.453056	83.910000	63.430000	97.776000	88.400000	
0.002000	0.528018	1.447358	83.778000	63.470000	97.798000	88.420000	
0.002000	0.530878	1.446592	83.680000	63.480000	97.798000	88.410000	
0.002000	0.522149	1.443912	84.098000	63.530000	97.916000	88.540000	
0.002000	0.523278	1.448476	83.914000	63.520000	97.866000	88.520000	
0.002000	0.524209	1.451629	83.910000	63.440000	97.872000	88.470000	
0.002000	0.524932	1.456354	83.902000	63.260000	97.866000	88.430000	
0.002000	0.522581	1.455705	84.054000	63.360000	97.832000	88.410000	
0.002000	0.523518	1.460990	83.930000	63.320000	97.852000	88.350000	
0.002000	0.522019	1.456283	83.972000	63.520000	97.890000	88.490000	
0.002000	0.520068	1.458357	84.024000	63.150000	97.888000	88.400000	
0.002000	0.522067	1.457869	84.062000	63.210000	97.828000	88.430000	
0.002000	0.520036	1.451427	84.180000	63.390000	97.832000	88.490000	
0.002000	0.518853	1.454692	84.182000	63.210000	97.874000	88.570000	
0.002000	0.522291	1.457137	83.948000	63.220000	97.920000	88.540000	
0.002000	0.518956	1.459182	84.144000	63.330000	97.890000	88.450000	
0.002000	0.523526	1.459387	83.868000	63.210000	97.880000	88.490000	
0.002000	0.519286	1.457757	84.058000	63.250000	97.908000	88.450000	
0.002000	0.519271	1.460098	83.958000	63.190000	97.952000	88.440000	
0.002000	0.515836	1.458974	83.984000	63.220000	97.984000	88.500000	
0.002000	0.517901	1.464427	84.046000	63.180000	97.880000	88.450000	
0.002000	0.517971	1.466718	84.100000	63.330000	97.884000	88.350000	
0.002000	0.512792	1.462987	84.350000	63.210000	97.966000	88.280000	
0.002000	0.517808	1.464685	84.196000	63.200000	97.936000	88.340000	
0.002000	0.519819	1.466377	83.854000	63.180000	97.934000	88.320000	
0.002000	0.514857	1.466067	84.184000	63.110000	97.880000	88.350000	
0.002000	0.514367	1.463762	84.136000	63.160000	97.948000	88.340000	
0.002000	0.513927	1.467054	84.232000	63.170000	97.960000	88.390000	
