Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.712719	1.410060	35.288000	48.490000	86.146000	92.880000	
0.100000	1.186739	1.027826	57.280000	63.080000	95.082000	96.780000	
0.100000	0.919081	0.902066	67.540000	68.380000	97.202000	97.630000	
0.100000	0.764281	0.715318	73.468000	75.090000	98.034000	98.520000	
0.100000	0.673492	0.649359	76.530000	77.810000	98.544000	98.750000	
0.100000	0.606256	0.592184	78.980000	80.410000	98.770000	98.730000	
0.100000	0.561706	0.588819	80.720000	79.880000	99.040000	98.760000	
0.100000	0.520938	0.569659	82.014000	80.470000	99.118000	99.130000	
0.100000	0.496335	0.506374	82.790000	82.550000	99.186000	99.200000	
0.100000	0.471053	0.533873	83.748000	81.750000	99.234000	99.210000	
0.100000	0.444774	0.496725	84.854000	83.100000	99.356000	99.280000	
0.100000	0.427214	0.485285	85.312000	83.520000	99.360000	99.280000	
0.100000	0.412984	0.505105	85.846000	83.040000	99.484000	99.080000	
0.100000	0.397549	0.487543	86.230000	83.470000	99.426000	99.280000	
0.100000	0.384275	0.443212	86.806000	84.880000	99.508000	99.400000	
0.100000	0.377814	0.458850	86.992000	84.260000	99.490000	99.380000	
0.100000	0.362881	0.462609	87.422000	84.510000	99.598000	99.390000	
0.100000	0.363031	0.443197	87.634000	85.130000	99.598000	99.270000	
0.100000	0.348994	0.428569	88.076000	85.790000	99.558000	99.390000	
0.100000	0.339620	0.428271	88.218000	85.410000	99.620000	99.340000	
0.100000	0.334257	0.435976	88.334000	84.900000	99.624000	99.340000	
0.100000	0.327120	0.415267	88.774000	86.040000	99.680000	99.360000	
0.100000	0.317353	0.419965	89.128000	85.680000	99.628000	99.450000	
0.100000	0.310807	0.409327	89.292000	86.490000	99.662000	99.360000	
0.100000	0.306021	0.389364	89.284000	86.930000	99.674000	99.510000	
0.100000	0.301344	0.407551	89.624000	86.070000	99.712000	99.440000	
0.100000	0.300590	0.418707	89.534000	86.410000	99.716000	99.520000	
0.100000	0.289784	0.409121	90.050000	86.480000	99.714000	99.440000	
0.100000	0.291608	0.433991	89.918000	84.930000	99.712000	99.380000	
0.100000	0.289137	0.389987	89.916000	87.340000	99.718000	99.520000	
0.100000	0.277685	0.402522	90.364000	86.600000	99.742000	99.440000	
0.100000	0.277376	0.395575	90.520000	87.130000	99.758000	99.480000	
0.100000	0.276210	0.408648	90.514000	86.280000	99.778000	99.450000	
0.100000	0.277499	0.384648	90.424000	87.090000	99.748000	99.410000	
0.100000	0.275183	0.400469	90.256000	86.780000	99.760000	99.520000	
0.100000	0.269593	0.411783	90.570000	86.250000	99.772000	99.440000	
0.100000	0.264957	0.380013	90.934000	87.320000	99.770000	99.460000	
0.100000	0.260165	0.373669	90.904000	87.720000	99.786000	99.590000	
0.100000	0.257843	0.373913	91.004000	87.530000	99.780000	99.570000	
0.100000	0.258013	0.367532	91.110000	87.940000	99.782000	99.510000	
0.100000	0.251330	0.408772	91.232000	86.770000	99.812000	99.490000	
0.100000	0.250493	0.380933	91.222000	86.970000	99.806000	99.530000	
0.100000	0.252916	0.375483	91.142000	87.570000	99.802000	99.620000	
0.100000	0.245995	0.360460	91.460000	88.040000	99.812000	99.580000	
0.100000	0.244978	0.356638	91.448000	88.460000	99.800000	99.540000	
0.100000	0.239767	0.368208	91.686000	87.550000	99.850000	99.570000	
0.100000	0.236485	0.351211	91.880000	88.240000	99.816000	99.620000	
0.100000	0.242892	0.386648	91.562000	87.150000	99.832000	99.510000	
0.100000	0.236058	0.400409	91.842000	86.880000	99.854000	99.480000	
0.100000	0.236439	0.394878	91.712000	86.730000	99.812000	99.460000	
0.100000	0.230322	0.373940	91.964000	87.470000	99.850000	99.600000	
0.100000	0.239231	0.388227	91.784000	87.420000	99.832000	99.460000	
0.100000	0.233122	0.373149	91.970000	87.320000	99.864000	99.620000	
0.100000	0.228687	0.338139	92.136000	88.420000	99.860000	99.670000	
0.100000	0.231261	0.363973	91.854000	87.880000	99.880000	99.480000	
0.100000	0.230108	0.357922	91.836000	88.250000	99.840000	99.620000	
0.100000	0.227862	0.389960	92.034000	86.920000	99.848000	99.540000	
