Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.720639	1.601993	35.054000	44.000000	86.472000	92.010000	
0.100000	1.190866	1.775939	56.950000	50.720000	95.186000	90.550000	
0.100000	0.928630	1.042400	66.894000	65.680000	97.250000	96.930000	
0.100000	0.772848	0.821744	72.964000	71.500000	98.050000	98.290000	
0.100000	0.677087	0.657182	76.412000	77.430000	98.560000	98.450000	
0.100000	0.614538	0.746525	78.666000	75.680000	98.828000	98.390000	
0.100000	0.566648	0.709539	80.382000	76.470000	98.972000	98.130000	
0.100000	0.532069	0.681805	81.518000	77.870000	99.076000	98.490000	
0.100000	0.495513	0.685021	82.902000	77.890000	99.170000	98.830000	
0.100000	0.468369	0.553821	83.786000	81.190000	99.286000	99.190000	
0.100000	0.455716	0.543683	84.146000	82.680000	99.412000	99.060000	
0.100000	0.430437	0.546898	85.076000	81.770000	99.430000	99.080000	
0.100000	0.416856	0.554667	85.444000	81.850000	99.400000	99.010000	
0.100000	0.400928	0.544085	86.168000	82.570000	99.508000	99.240000	
0.100000	0.383988	0.615991	86.696000	80.300000	99.460000	99.020000	
0.100000	0.370367	0.682493	87.162000	79.000000	99.554000	99.200000	
0.100000	0.364100	0.532627	87.190000	82.370000	99.560000	99.240000	
0.100000	0.346692	0.509560	88.024000	83.450000	99.638000	99.110000	
0.100000	0.340202	0.468386	88.212000	84.790000	99.636000	99.190000	
0.100000	0.337108	0.532788	88.386000	83.080000	99.636000	99.260000	
0.100000	0.327777	0.519462	88.498000	83.700000	99.636000	99.170000	
0.100000	0.318118	0.505770	88.902000	84.280000	99.644000	99.290000	
0.100000	0.315579	0.533202	89.188000	83.150000	99.686000	99.380000	
0.100000	0.305427	0.465221	89.252000	85.240000	99.706000	99.270000	
0.100000	0.301031	0.471691	89.498000	84.940000	99.738000	99.130000	
0.100000	0.292064	0.538879	89.790000	83.080000	99.728000	99.180000	
0.100000	0.293153	0.431011	89.784000	85.880000	99.768000	99.530000	
0.100000	0.280427	0.496839	90.226000	84.370000	99.782000	99.200000	
0.100000	0.282299	0.512857	90.170000	84.580000	99.762000	99.280000	
0.100000	0.278584	0.574043	90.264000	83.030000	99.758000	99.070000	
0.100000	0.274568	0.440272	90.330000	85.770000	99.770000	99.530000	
0.100000	0.265312	0.510909	90.666000	84.560000	99.768000	98.980000	
0.100000	0.265319	0.506558	90.932000	84.510000	99.782000	99.500000	
0.100000	0.261358	0.452402	90.958000	85.850000	99.808000	99.260000	
0.100000	0.259077	0.415537	90.936000	86.870000	99.802000	99.510000	
0.100000	0.257680	0.404445	90.854000	86.840000	99.850000	99.450000	
0.100000	0.250749	0.443003	91.242000	86.250000	99.816000	99.480000	
0.100000	0.248040	0.427665	91.324000	87.070000	99.820000	99.550000	
0.100000	0.248589	0.425794	91.332000	86.220000	99.822000	99.590000	
0.100000	0.242851	0.532697	91.596000	83.780000	99.826000	99.260000	
0.100000	0.238641	0.512218	91.622000	84.100000	99.846000	99.390000	
0.100000	0.241924	0.418006	91.682000	86.840000	99.832000	99.510000	
0.100000	0.234068	0.442147	91.780000	86.440000	99.810000	99.360000	
0.100000	0.238663	0.417694	91.634000	86.700000	99.846000	99.580000	
0.100000	0.233171	0.430122	91.752000	86.660000	99.856000	99.450000	
0.100000	0.225140	0.395853	92.078000	87.410000	99.846000	99.500000	
0.100000	0.227862	0.465099	92.046000	86.160000	99.818000	99.380000	
0.100000	0.221183	0.386051	92.344000	88.350000	99.816000	99.490000	
0.100000	0.219963	0.401367	92.262000	87.420000	99.868000	99.480000	
0.100000	0.218236	0.381262	92.304000	87.830000	99.862000	99.510000	
0.100000	0.215203	0.460529	92.528000	85.950000	99.868000	99.490000	
0.100000	0.223838	0.380926	92.148000	87.940000	99.878000	99.580000	
0.100000	0.218795	0.377332	92.394000	87.910000	99.892000	99.620000	
0.100000	0.214427	0.386133	92.390000	88.060000	99.872000	99.510000	
0.100000	0.214526	0.391814	92.468000	88.420000	99.886000	99.540000	
0.100000	0.204898	0.516844	92.798000	85.330000	99.862000	99.240000	
0.100000	0.208911	0.512465	92.648000	85.250000	99.878000	99.220000	
0.100000	0.208059	0.444713	92.674000	86.050000	99.870000	99.430000	
0.100000	0.207051	0.501761	92.708000	85.790000	99.884000	99.430000	
0.100000	0.208577	0.394408	92.662000	88.290000	99.882000	99.600000	
0.100000	0.201181	0.410613	92.906000	87.810000	99.892000	99.490000	
0.100000	0.206788	0.518167	92.882000	84.750000	99.922000	99.040000	
0.100000	0.202584	0.399381	93.004000	87.520000	99.908000	99.510000	
0.100000	0.204974	0.457491	92.912000	86.450000	99.874000	99.510000	
0.100000	0.201928	0.470186	92.926000	86.080000	99.888000	99.280000	
0.100000	0.199750	0.361834	93.044000	88.690000	99.886000	99.620000	
0.100000	0.195540	0.422382	93.168000	86.760000	99.876000	99.480000	
0.100000	0.195971	0.473719	93.204000	86.300000	99.906000	99.440000	
0.100000	0.190516	0.432596	93.282000	87.170000	99.888000	99.480000	
0.100000	0.196669	0.416456	93.238000	87.620000	99.892000	99.550000	
0.100000	0.193182	0.517533	93.136000	84.950000	99.902000	99.450000	
0.100000	0.192825	0.539134	93.224000	85.070000	99.902000	99.290000	
0.100000	0.193929	0.512677	93.130000	85.230000	99.900000	99.460000	
0.100000	0.190032	0.467931	93.314000	86.560000	99.896000	99.510000	
0.100000	0.193547	0.379254	93.228000	88.530000	99.884000	99.590000	
0.100000	0.187971	0.371103	93.400000	88.360000	99.908000	99.500000	
0.100000	0.190231	0.428262	93.400000	87.550000	99.886000	99.520000	
0.100000	0.185164	0.484061	93.468000	86.570000	99.916000	99.060000	
0.100000	0.186012	0.458909	93.642000	86.370000	99.934000	99.480000	
0.100000	0.188769	0.494565	93.274000	86.110000	99.924000	99.190000	
0.100000	0.186520	0.427673	93.486000	87.120000	99.914000	99.450000	
0.010000	0.106263	0.261780	96.502000	92.010000	99.964000	99.700000	
0.010000	0.074913	0.255106	97.538000	92.140000	99.984000	99.710000	
0.010000	0.065345	0.256443	97.910000	92.270000	99.988000	99.730000	
0.010000	0.055931	0.254243	98.198000	92.530000	99.992000	99.700000	
0.010000	0.050389	0.264513	98.434000	92.320000	99.992000	99.730000	
0.010000	0.048327	0.261522	98.378000	92.400000	99.990000	99.700000	
0.010000	0.044512	0.267889	98.572000	92.320000	99.994000	99.730000	
0.010000	0.042068	0.270883	98.652000	92.530000	99.994000	99.690000	
0.010000	0.038283	0.275739	98.752000	92.450000	99.988000	99.730000	
0.010000	0.035818	0.278941	98.848000	92.350000	99.998000	99.720000	
0.010000	0.035675	0.285888	98.898000	92.300000	99.998000	99.700000	
0.010000	0.031159	0.286304	99.048000	92.430000	100.000000	99.720000	
0.010000	0.031953	0.288565	98.946000	92.400000	99.996000	99.740000	
0.010000	0.030138	0.288251	99.062000	92.550000	99.998000	99.720000	
0.010000	0.028565	0.289335	99.092000	92.430000	100.000000	99.730000	
0.010000	0.026216	0.290183	99.184000	92.360000	99.994000	99.750000	
0.010000	0.023926	0.300840	99.300000	92.420000	100.000000	99.690000	
0.010000	0.025106	0.303263	99.208000	92.480000	100.000000	99.730000	
0.010000	0.023690	0.301336	99.274000	92.420000	100.000000	99.740000	
0.010000	0.023813	0.296915	99.284000	92.570000	100.000000	99.720000	
0.010000	0.020515	0.305153	99.392000	92.530000	99.998000	99.710000	
0.010000	0.020398	0.314075	99.400000	92.370000	99.998000	99.720000	
0.010000	0.020524	0.316489	99.374000	92.560000	100.000000	99.740000	
0.010000	0.019611	0.317156	99.434000	92.280000	99.998000	99.730000	
0.010000	0.018209	0.324607	99.446000	92.470000	100.000000	99.720000	
0.010000	0.018478	0.321445	99.418000	92.580000	99.998000	99.700000	
0.010000	0.016837	0.320644	99.526000	92.600000	100.000000	99.720000	
0.010000	0.016510	0.335338	99.498000	92.410000	100.000000	99.720000	
0.010000	0.016957	0.330609	99.502000	92.520000	99.998000	99.720000	
0.010000	0.015506	0.332867	99.544000	92.460000	100.000000	99.750000	
0.010000	0.015825	0.332420	99.528000	92.390000	100.000000	99.700000	
0.010000	0.015507	0.334428	99.522000	92.290000	100.000000	99.700000	
0.010000	0.015248	0.330822	99.552000	92.320000	99.998000	99.760000	
0.010000	0.013770	0.340815	99.620000	92.430000	100.000000	99.740000	
0.010000	0.013893	0.336685	99.580000	92.350000	100.000000	99.730000	
0.010000	0.013463	0.347670	99.612000	92.250000	100.000000	99.720000	
0.010000	0.014728	0.342637	99.570000	92.440000	100.000000	99.720000	
0.010000	0.012460	0.340394	99.662000	92.480000	100.000000	99.700000	
0.010000	0.012812	0.343813	99.662000	92.310000	100.000000	99.720000	
0.001000	0.010901	0.335260	99.702000	92.710000	100.000000	99.720000	
0.001000	0.009760	0.335537	99.770000	92.670000	100.000000	99.730000	
0.001000	0.010037	0.331943	99.728000	92.570000	100.000000	99.740000	
0.001000	0.010132	0.333194	99.718000	92.710000	100.000000	99.700000	
0.001000	0.009049	0.335814	99.756000	92.740000	100.000000	99.710000	
0.001000	0.008887	0.331585	99.794000	92.670000	99.998000	99.720000	
0.001000	0.008970	0.334780	99.772000	92.670000	100.000000	99.720000	
0.001000	0.008672	0.331686	99.784000	92.790000	100.000000	99.720000	
0.001000	0.008434	0.336070	99.814000	92.740000	100.000000	99.730000	
0.001000	0.008333	0.333249	99.796000	92.710000	100.000000	99.730000	
0.001000	0.007807	0.332793	99.834000	92.670000	100.000000	99.730000	
0.001000	0.008100	0.332525	99.810000	92.870000	100.000000	99.720000	
0.001000	0.007791	0.335802	99.836000	92.680000	100.000000	99.710000	
0.001000	0.008584	0.333148	99.792000	92.740000	100.000000	99.720000	
0.001000	0.008129	0.333479	99.808000	92.780000	100.000000	99.700000	
0.001000	0.007202	0.333439	99.830000	92.750000	100.000000	99.710000	
0.001000	0.008237	0.335180	99.778000	92.770000	100.000000	99.710000	
0.001000	0.007729	0.336962	99.830000	92.710000	100.000000	99.720000	
0.001000	0.007070	0.336184	99.848000	92.710000	100.000000	99.710000	
0.001000	0.007518	0.335050	99.846000	92.780000	100.000000	99.730000	
0.001000	0.007806	0.334533	99.808000	92.730000	100.000000	99.710000	
0.001000	0.007992	0.334466	99.824000	92.790000	100.000000	99.720000	
0.001000	0.007607	0.335347	99.836000	92.820000	100.000000	99.710000	
0.001000	0.007079	0.333510	99.838000	92.760000	100.000000	99.730000	
0.001000	0.007657	0.333535	99.830000	92.680000	100.000000	99.720000	
0.001000	0.007418	0.334504	99.820000	92.780000	100.000000	99.740000	
0.001000	0.007307	0.337251	99.838000	92.810000	100.000000	99.730000	
0.001000	0.007297	0.334768	99.810000	92.790000	100.000000	99.740000	
0.001000	0.007067	0.337773	99.852000	92.800000	100.000000	99.740000	
0.001000	0.007079	0.336872	99.858000	92.640000	100.000000	99.740000	
0.001000	0.006701	0.334968	99.860000	92.740000	100.000000	99.720000	
0.001000	0.007008	0.338222	99.854000	92.760000	100.000000	99.720000	
0.001000	0.007050	0.338877	99.832000	92.740000	100.000000	99.740000	
0.001000	0.006531	0.340761	99.844000	92.780000	100.000000	99.740000	
0.001000	0.007344	0.337335	99.828000	92.780000	100.000000	99.740000	
0.001000	0.006827	0.338524	99.866000	92.790000	100.000000	99.750000	
0.001000	0.006897	0.340190	99.850000	92.620000	99.998000	99.730000	
0.001000	0.007147	0.339133	99.836000	92.680000	100.000000	99.740000	
0.001000	0.006568	0.336921	99.866000	92.800000	100.000000	99.730000	
0.001000	0.006145	0.337970	99.872000	92.790000	100.000000	99.740000	
0.001000	0.007200	0.338995	99.842000	92.740000	100.000000	99.760000	
0.001000	0.007075	0.335843	99.838000	92.840000	100.000000	99.750000	
0.001000	0.006745	0.338652	99.864000	92.840000	100.000000	99.730000	
0.001000	0.006661	0.342763	99.856000	92.760000	100.000000	99.720000	
