Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.840174	1.619402	28.854000	38.440000	83.158000	89.130000	
0.100000	1.530175	1.436169	42.608000	47.780000	91.184000	91.320000	
0.100000	1.330749	1.229399	51.320000	54.800000	93.652000	94.940000	
0.100000	1.207884	1.186525	56.122000	57.210000	95.062000	95.350000	
0.100000	1.110646	1.029280	59.876000	63.110000	95.862000	96.460000	
0.100000	1.036458	0.991276	62.610000	64.130000	96.376000	97.180000	
0.100000	0.975186	0.900046	65.146000	67.740000	96.982000	97.450000	
0.100000	0.916947	0.863997	67.172000	69.570000	97.266000	97.790000	
0.100000	0.875485	0.868231	68.984000	69.010000	97.568000	97.690000	
0.100000	0.827586	0.832480	70.646000	70.870000	97.808000	97.870000	
0.100000	0.804991	0.824044	71.642000	71.440000	97.974000	97.900000	
0.100000	0.776606	0.753381	72.706000	74.090000	98.064000	97.990000	
0.100000	0.740893	0.750940	74.450000	74.060000	98.210000	98.160000	
0.100000	0.719475	0.745909	74.884000	73.810000	98.330000	98.260000	
0.100000	0.712790	0.736505	75.122000	74.390000	98.404000	98.070000	
0.100000	0.707922	0.722418	75.552000	74.940000	98.396000	98.450000	
0.100000	0.684200	0.684233	76.156000	76.400000	98.486000	98.550000	
0.100000	0.659706	0.667777	77.062000	76.670000	98.618000	98.670000	
0.100000	0.654913	0.662502	77.400000	77.010000	98.562000	98.570000	
0.100000	0.637151	0.682410	77.972000	76.310000	98.658000	98.480000	
0.100000	0.643659	0.708859	77.812000	75.820000	98.620000	98.440000	
0.100000	0.620978	0.651675	78.648000	77.860000	98.704000	98.770000	
0.100000	0.622382	0.660933	78.482000	76.930000	98.786000	98.620000	
0.100000	0.609037	0.621887	79.010000	78.770000	98.790000	98.720000	
0.100000	0.605382	0.635923	78.976000	78.160000	98.816000	98.680000	
0.100000	0.583567	0.617730	79.744000	78.720000	98.948000	98.740000	
0.100000	0.593466	0.669413	79.510000	77.020000	98.854000	98.480000	
0.100000	0.586650	0.635574	79.432000	77.860000	98.922000	98.840000	
0.100000	0.574124	0.627662	80.242000	78.630000	98.926000	98.780000	
0.100000	0.579705	0.642215	79.908000	77.910000	98.896000	98.710000	
0.100000	0.573147	0.615545	80.156000	78.910000	98.932000	98.890000	
0.100000	0.563706	0.606631	80.484000	78.960000	98.972000	98.750000	
0.100000	0.561816	0.623935	80.550000	79.260000	98.946000	98.620000	
0.100000	0.556842	0.565432	80.906000	80.690000	98.978000	98.930000	
0.100000	0.553141	0.586568	80.850000	80.400000	99.080000	98.920000	
0.100000	0.551265	0.607869	80.960000	78.970000	99.052000	98.870000	
0.100000	0.547344	0.609923	81.108000	79.350000	99.012000	98.780000	
0.100000	0.535501	0.546607	81.466000	81.270000	99.088000	99.020000	
0.100000	0.534014	0.595835	81.472000	79.730000	99.124000	98.820000	
0.100000	0.533070	0.612902	81.638000	79.410000	99.038000	98.360000	
0.100000	0.533811	0.608402	81.542000	79.330000	99.034000	98.740000	
0.100000	0.524024	0.584751	82.036000	79.750000	99.026000	98.850000	
0.100000	0.525673	0.573132	81.796000	80.810000	99.142000	98.880000	
0.100000	0.524444	0.556745	81.960000	81.320000	99.104000	98.870000	
0.100000	0.521762	0.591470	81.966000	79.510000	99.062000	98.880000	
0.100000	0.523039	0.552758	81.958000	81.120000	99.038000	98.930000	
0.100000	0.515626	0.591438	82.110000	79.550000	99.140000	98.910000	
0.100000	0.514238	0.572196	82.358000	80.620000	99.114000	98.780000	
0.100000	0.517497	0.584627	82.176000	79.910000	99.136000	98.760000	
0.100000	0.509322	0.615949	82.240000	78.910000	99.126000	98.870000	
0.100000	0.512403	0.573326	82.272000	80.660000	99.122000	98.800000	
0.100000	0.509125	0.558144	82.322000	81.300000	99.180000	98.820000	
0.100000	0.507133	0.565198	82.688000	81.070000	99.124000	98.990000	
0.100000	0.502334	0.541230	82.628000	81.510000	99.166000	99.060000	
0.100000	0.498592	0.546447	82.790000	81.430000	99.210000	98.940000	
0.100000	0.497318	0.542917	82.682000	81.720000	99.208000	99.130000	
0.100000	0.491143	0.519833	82.914000	81.910000	99.154000	98.990000	
0.100000	0.492089	0.582200	82.880000	80.120000	99.232000	98.890000	
0.100000	0.492169	0.559308	83.034000	80.740000	99.252000	98.870000	
0.100000	0.497295	0.588438	82.994000	79.760000	99.132000	98.720000	
0.100000	0.493684	0.538050	82.760000	81.640000	99.212000	98.890000	
0.100000	0.489762	0.579181	82.896000	80.120000	99.176000	98.780000	
0.100000	0.490822	0.540088	83.012000	81.300000	99.238000	99.040000	
0.100000	0.489250	0.571844	83.134000	80.200000	99.184000	98.910000	
0.100000	0.486783	0.608614	83.246000	79.080000	99.200000	98.670000	
0.100000	0.485707	0.544104	83.124000	81.550000	99.220000	99.020000	
0.100000	0.487173	0.583927	83.208000	80.010000	99.216000	98.960000	
0.100000	0.484985	0.561105	83.290000	80.880000	99.210000	98.950000	
0.100000	0.475181	0.520377	83.558000	82.040000	99.284000	99.060000	
0.100000	0.477082	0.519155	83.454000	82.330000	99.230000	99.170000	
0.100000	0.479252	0.563980	83.414000	80.530000	99.294000	98.940000	
0.100000	0.473637	0.547750	83.698000	81.520000	99.264000	98.890000	
0.100000	0.474782	0.510048	83.568000	82.370000	99.230000	99.090000	
0.100000	0.484467	0.525454	83.236000	81.900000	99.216000	98.870000	
0.100000	0.479355	0.522241	83.446000	81.920000	99.238000	99.070000	
0.100000	0.472992	0.540514	83.668000	81.620000	99.288000	99.110000	
0.100000	0.473409	0.490987	83.666000	83.450000	99.258000	99.210000	
0.100000	0.476422	0.549215	83.346000	80.900000	99.318000	98.960000	
0.100000	0.473099	0.508145	83.614000	82.900000	99.276000	99.190000	
0.100000	0.470801	0.619411	83.640000	78.970000	99.262000	98.840000	
0.100000	0.476942	0.527127	83.466000	81.780000	99.232000	99.000000	
0.010000	0.326916	0.388030	88.840000	86.800000	99.632000	99.570000	
0.010000	0.293491	0.383824	89.952000	86.680000	99.702000	99.520000	
0.010000	0.282046	0.380433	90.240000	86.930000	99.720000	99.590000	
0.010000	0.272258	0.376063	90.508000	87.310000	99.750000	99.570000	
0.010000	0.266054	0.376815	90.916000	87.030000	99.730000	99.610000	
0.010000	0.264907	0.374379	90.912000	87.330000	99.804000	99.540000	
0.010000	0.259238	0.384517	91.078000	86.910000	99.764000	99.480000	
0.010000	0.255063	0.372674	91.104000	87.250000	99.788000	99.520000	
0.010000	0.253390	0.373240	91.362000	87.240000	99.808000	99.590000	
0.010000	0.253141	0.372224	91.286000	87.390000	99.794000	99.620000	
0.010000	0.246294	0.382239	91.474000	87.060000	99.826000	99.560000	
0.010000	0.242940	0.374807	91.680000	87.490000	99.818000	99.530000	
0.010000	0.242395	0.380391	91.578000	87.230000	99.820000	99.490000	
0.010000	0.238381	0.366573	91.690000	87.560000	99.798000	99.620000	
0.010000	0.235779	0.367278	91.706000	87.590000	99.838000	99.520000	
0.010000	0.233251	0.368530	92.084000	87.620000	99.832000	99.510000	
0.010000	0.234273	0.371982	91.904000	87.710000	99.830000	99.560000	
0.010000	0.228413	0.374738	92.078000	87.430000	99.852000	99.500000	
0.010000	0.229317	0.373981	92.104000	87.380000	99.854000	99.530000	
0.010000	0.228258	0.374234	92.050000	87.360000	99.828000	99.630000	
0.010000	0.224292	0.377269	92.168000	87.530000	99.822000	99.550000	
0.010000	0.223203	0.376364	92.358000	87.430000	99.826000	99.530000	
0.010000	0.221360	0.361397	92.374000	87.500000	99.846000	99.630000	
0.010000	0.216279	0.377229	92.464000	87.510000	99.870000	99.570000	
0.010000	0.220042	0.375872	92.336000	87.380000	99.878000	99.550000	
0.010000	0.217152	0.373458	92.522000	87.730000	99.854000	99.600000	
0.010000	0.214567	0.376165	92.670000	87.360000	99.846000	99.610000	
0.010000	0.213137	0.367282	92.572000	87.790000	99.892000	99.490000	
0.010000	0.211542	0.380653	92.720000	87.220000	99.870000	99.520000	
0.010000	0.211240	0.376155	92.670000	87.500000	99.878000	99.610000	
0.010000	0.209756	0.385274	92.778000	87.250000	99.874000	99.510000	
0.010000	0.207431	0.373844	92.832000	87.570000	99.866000	99.550000	
0.010000	0.204451	0.377825	92.966000	87.230000	99.898000	99.480000	
0.010000	0.204899	0.382249	92.866000	87.270000	99.882000	99.470000	
0.010000	0.203390	0.375844	92.998000	87.400000	99.866000	99.550000	
0.010000	0.204495	0.375400	92.878000	87.560000	99.876000	99.480000	
0.010000	0.204068	0.364470	92.932000	87.830000	99.870000	99.530000	
0.010000	0.203324	0.376060	92.944000	87.380000	99.866000	99.580000	
0.010000	0.201465	0.387686	93.012000	87.140000	99.870000	99.500000	
0.010000	0.198682	0.380824	93.204000	87.500000	99.894000	99.490000	
0.010000	0.201617	0.374954	92.924000	87.710000	99.878000	99.520000	
0.001000	0.179141	0.360050	93.894000	87.980000	99.914000	99.550000	
0.001000	0.168047	0.354158	94.168000	88.160000	99.932000	99.550000	
0.001000	0.165406	0.356124	94.312000	88.130000	99.922000	99.530000	
0.001000	0.166020	0.356311	94.286000	88.160000	99.922000	99.550000	
0.001000	0.163537	0.357238	94.340000	87.960000	99.922000	99.520000	
0.001000	0.162869	0.358541	94.504000	88.130000	99.922000	99.530000	
0.001000	0.164380	0.354820	94.288000	88.210000	99.924000	99.520000	
0.001000	0.163414	0.356473	94.520000	88.260000	99.936000	99.530000	
0.001000	0.162114	0.358264	94.540000	88.150000	99.924000	99.530000	
0.001000	0.161615	0.357834	94.448000	88.090000	99.918000	99.550000	
0.001000	0.160279	0.356622	94.532000	88.250000	99.910000	99.550000	
0.001000	0.158080	0.357644	94.690000	88.250000	99.926000	99.530000	
0.001000	0.159792	0.358756	94.566000	88.140000	99.948000	99.500000	
0.001000	0.159774	0.358829	94.558000	88.070000	99.924000	99.480000	
0.001000	0.159000	0.357812	94.600000	88.090000	99.926000	99.500000	
0.001000	0.159550	0.357205	94.488000	88.120000	99.924000	99.530000	
0.001000	0.158642	0.361724	94.588000	88.100000	99.916000	99.510000	
0.001000	0.159253	0.358090	94.692000	88.260000	99.918000	99.530000	
0.001000	0.155948	0.361602	94.724000	87.960000	99.926000	99.520000	
0.001000	0.158094	0.363300	94.618000	87.980000	99.932000	99.500000	
0.001000	0.156045	0.363805	94.682000	88.040000	99.942000	99.540000	
0.001000	0.156283	0.361560	94.690000	88.150000	99.936000	99.530000	
0.001000	0.154462	0.360879	94.786000	88.220000	99.928000	99.530000	
0.001000	0.155541	0.358603	94.700000	88.290000	99.938000	99.530000	
0.001000	0.157232	0.358777	94.572000	88.210000	99.926000	99.520000	
0.001000	0.155715	0.360777	94.680000	88.300000	99.926000	99.520000	
0.001000	0.158495	0.359769	94.562000	88.110000	99.940000	99.490000	
0.001000	0.155899	0.358164	94.744000	88.270000	99.936000	99.580000	
0.001000	0.152432	0.360467	94.848000	88.200000	99.920000	99.530000	
0.001000	0.157090	0.362410	94.670000	88.370000	99.924000	99.530000	
0.001000	0.153225	0.361705	94.770000	88.200000	99.912000	99.490000	
0.001000	0.155526	0.361184	94.702000	88.080000	99.930000	99.540000	
